이름,유형,도로명주소,지번주소,전화번호,홈페이지,체크인/아웃시간,별점,리뷰 개수,위도,경도
한또바기,민박,제주 제주시 조천읍 조천18길 65,조천리 718-1,070-8833-3461,https://blog.naver.com/hantobagi,미제공,0.0,15,33.5376184785155,126.647318079026
피크엔드,게스트하우스,제주 제주시 서해안로 135 2층,도두일동 2539-1,010-8323-8624,https://www.instagram.com/peak.end,입실 17:00 퇴실 11:00,0.0,46,33.5029887848688,126.464003313264
노스컨츄리,게스트하우스,제주 제주시 조천읍 북촌12길 1,북촌리 686-4,010-3265-7330,http://www.instagram.com/northcountry_jeju,입실 17:30 퇴실 13:00,0.0,41,33.5485267265326,126.697101992561
에피소드카페게스트하우스,게스트하우스,제주 제주시 애월읍 하귀동남1길 19,하귀1리 189-10,064-748-2901,https://blog.naver.com/episodejeju,입실 15:00 퇴실 11:00,4.54,92,33.4854224309538,126.413314617204
굿나잇&굿럭,게스트하우스,제주 제주시 애월읍 애월로9길 60 1동,애월리 1820-1,0507-1350-0676,https://www.instagram.com/goodnight.luck,미제공,0.0,13,33.4664640660014,126.318666325488
하버하우스,게스트하우스,제주 제주시 조천읍 신촌5길 58-1,신촌리 2029-1,0507-1413-7082,https://www.youtube.com/channel/UCuAZxc8scDpOKjEzmR1Bzqw,미제공,0.0,52,33.5381333624605,126.62239278421
낯가림,게스트하우스,제주 제주시 애월읍 애월로 130 낯가림,애월리 1639-2,010-5487-6422,http://www.instagram.com/not_garim_,미제공,0.0,88,33.4640820516796,126.320978013193
이꼬이앤스테이,게스트하우스,제주 제주시 중앙로5길 18,일도일동 1306-11,0507-1338-9408,https://www.ikkoi.co.kr/,미제공,0.0,24,33.5150844492596,126.526621719027
산방댁,게스트하우스,제주 서귀포시 안덕면 사계신항로 6 산방댁게스트하우스,사계리 3591,0507-1449-2250,https://www.instagram.com/sanbangdaek,입실 17:00 퇴실 11:00,0.0,78,33.2497718594872,126.320836498225
제주신라호텔,5성급,제주 서귀포시 중문관광로72번길 75,색달동 3039-3,064-735-5114,http://www.shilla.net/jeju/,체크인 14:00 체크아웃 11:00,4.68,12691,33.2471639473767,126.407955114741
제주신라호텔,5성급,제주 서귀포시 중문관광로72번길 75,색달동 3039-3,064-735-5114,http://www.shilla.net/jeju/,체크인 14:00 체크아웃 11:00,4.68,12691,33.2471639473767,126.407955114741
제주신라호텔 더 파크뷰,뷔페,제주 서귀포시 중문관광로72번길 75 3층,색달동 3039-3,064-735-5334,http://www.shilla.net/jeju/dining/viewDining.do?contId=PAR#ad-image-0,미제공,4.77,1898,33.2471639473767,126.407955114741
제주신라호텔 더 파크뷰,뷔페,제주 서귀포시 중문관광로72번길 75 3층,색달동 3039-3,064-735-5334,http://www.shilla.net/jeju/dining/viewDining.do?contId=PAR#ad-image-0,미제공,4.77,1898,33.2471639473767,126.407955114741
롯데호텔 제주,5성급,제주 서귀포시 중문관광로72번길 35 롯데호텔 제주,색달동 2812-4,064-731-1000,https://www.lottehotel.com/jeju-hotel/ko.html,체크인 14:00 체크아웃 11:00,4.58,5924,33.2482710924721,126.410412652417
롯데호텔 제주,5성급,제주 서귀포시 중문관광로72번길 35 롯데호텔 제주,색달동 2812-4,064-731-1000,https://www.lottehotel.com/jeju-hotel/ko.html,체크인 14:00 체크아웃 11:00,4.58,5924,33.2482710924721,126.410412652417
롯데호텔 제주 라세느,뷔페,제주 서귀포시 중문관광로72번길 35 6F,색달동 2812-4,064-731-4266,https://www.lottehotel.com/jeju-hotel/ko/dining/restaurant-The-CANVAS.html,미제공,4.55,640,33.2482710924721,126.410412652417
롯데호텔 제주 라세느,뷔페,제주 서귀포시 중문관광로72번길 35 6F,색달동 2812-4,064-731-4266,https://www.lottehotel.com/jeju-hotel/ko/dining/restaurant-The-CANVAS.html,미제공,4.55,640,33.2482710924721,126.410412652417
그랜드 하얏트 제주,5성급,제주 제주시 노연로 12 그랜드 하얏트 제주 | 제주 드림타워 복합리조트,노형동 925,1533-1234,https://www.jejudreamtower.com/kor/,체크인 15:00 체크아웃 11:00,4.47,7360,33.4851402486777,126.481499772471
그랜드 조선 제주,5성급,제주 서귀포시 중문관광로72번길 60 그랜드조선제주,색달동 2101,064-738-6600,https://gjj.josunhotel.com/main.do,체크인 15:00 체크아웃 12:00,4.68,3910,33.2496817426147,126.406105452119
파르나스 호텔 제주,5성급,제주 서귀포시 중문관광로72번길 100,색달동 3039-1,064-801-5555,https://parnashoteljeju.com,체크인 15:00 체크아웃 11:00,0.0,1737,33.2454378419952,126.405583807733
파르나스 호텔 제주,5성급,제주 서귀포시 중문관광로72번길 100,색달동 3039-1,064-801-5555,https://parnashoteljeju.com,체크인 15:00 체크아웃 11:00,0.0,1737,33.2454378419952,126.405583807733
하얏트호텔,호텔,제주 서귀포시 중문관광로72번길 100,색달동 3039-1,미제공,미제공,미제공,0.0,2,33.2454378419952,126.405583807733
하얏트호텔,호텔,제주 서귀포시 중문관광로72번길 100,색달동 3039-1,미제공,미제공,미제공,0.0,2,33.2454378419952,126.405583807733
메종 글래드 제주,5성급,제주 제주시 노연로 80,연동 263-15,064-747-5000,https://www.glad-hotels.com/maisongladjeju/index.do,체크인 15:00 체크아웃 11:00,4.4,4747,33.4848652881254,126.488557453949
히든 클리프 호텔&네이쳐,5성급,제주 서귀포시 예래해안로 542,상예동 596,064-752-7777,http://www.hiddencliff.kr/,체크인 15:00 체크아웃 11:00,4.47,6120,33.2552622915126,126.401116377087
해비치호텔앤드리조트,5성급,제주 서귀포시 표선면 민속해안로 537,표선리 40-69,064-780-8100,https://www.haevichi.com/jeju/ko/,체크인 15:00 체크아웃 12:00,4.54,8425,33.323376521592,126.844767514753
토스카나 호텔,5성급,제주 서귀포시 용흥로66번길 158-7 토스카나 호텔,강정동 3704,064-735-7000,https://thesiena.co.kr/content/toscana,체크인 15:00 체크아웃 11:00,0.0,4958,33.2654992112475,126.484365714484
제주부영호텔&리조트,5성급,제주 서귀포시 중문관광로 222,중문동 2700-2,064-731-5500,http://www.booyoungjejuhotel.com/,체크인 15:00 체크아웃 11:00,4.51,3499,33.2421503349446,126.423607529133
에코랜드 호텔,호텔,제주 제주시 조천읍 번영로 1278-169 에코랜드 호텔,대흘리 1221-1,064-801-6000,https://www.instagram.com/ecoland_hotel,미제공,0.0,1336,33.4617082765982,126.67038434988
호텔브릿지 서귀포,4성급,제주 서귀포시 태평로 436,서귀동 162-1,0507-1429-4200,http://www.bridge-seogwipo.com,체크인 15:00 체크아웃 11:00,0.0,1042,33.2455931951362,126.566652188682
메리어트관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 메리어트관 제주신화월드 호텔 앤 리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=2vq7wy88,체크인 15:00 체크아웃 12:00,4.41,2632,33.3068460968274,126.317477950826
메리어트관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 메리어트관 제주신화월드 호텔 앤 리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=2vq7wy88,체크인 15:00 체크아웃 12:00,4.41,2632,33.3068460968274,126.317477950826
메리어트관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 메리어트관 제주신화월드 호텔 앤 리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=2vq7wy88,체크인 15:00 체크아웃 12:00,4.41,2632,33.3068460968274,126.317477950826
메리어트관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 메리어트관 제주신화월드 호텔 앤 리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=2vq7wy88,체크인 15:00 체크아웃 12:00,4.41,2632,33.3068460968274,126.317477950826
메리어트관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 메리어트관 제주신화월드 호텔 앤 리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=2vq7wy88,체크인 15:00 체크아웃 12:00,4.41,2632,33.3068460968274,126.317477950826
메리어트관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 메리어트관 제주신화월드 호텔 앤 리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=2vq7wy88,체크인 15:00 체크아웃 12:00,4.41,2632,33.3068460968274,126.317477950826
신화관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 신화관 제주신화월드 호텔 앤 리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=2lt8s5i8,체크인 15:00 체크아웃 12:00,4.4,2315,33.3068460968274,126.317477950826
신화관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 신화관 제주신화월드 호텔 앤 리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=2lt8s5i8,체크인 15:00 체크아웃 12:00,4.4,2315,33.3068460968274,126.317477950826
신화관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 신화관 제주신화월드 호텔 앤 리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=2lt8s5i8,체크인 15:00 체크아웃 12:00,4.4,2315,33.3068460968274,126.317477950826
신화관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 신화관 제주신화월드 호텔 앤 리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=2lt8s5i8,체크인 15:00 체크아웃 12:00,4.4,2315,33.3068460968274,126.317477950826
신화관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 신화관 제주신화월드 호텔 앤 리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=2lt8s5i8,체크인 15:00 체크아웃 12:00,4.4,2315,33.3068460968274,126.317477950826
신화관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 신화관 제주신화월드 호텔 앤 리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=2lt8s5i8,체크인 15:00 체크아웃 12:00,4.4,2315,33.3068460968274,126.317477950826
랜딩관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 랜딩관 제주신화월드 호텔앤리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=clddvc73,체크인 15:00 체크아웃 12:00,4.38,2606,33.3068460968274,126.317477950826
랜딩관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 랜딩관 제주신화월드 호텔앤리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=clddvc73,체크인 15:00 체크아웃 12:00,4.38,2606,33.3068460968274,126.317477950826
랜딩관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 랜딩관 제주신화월드 호텔앤리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=clddvc73,체크인 15:00 체크아웃 12:00,4.38,2606,33.3068460968274,126.317477950826
랜딩관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 랜딩관 제주신화월드 호텔앤리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=clddvc73,체크인 15:00 체크아웃 12:00,4.38,2606,33.3068460968274,126.317477950826
랜딩관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 랜딩관 제주신화월드 호텔앤리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=clddvc73,체크인 15:00 체크아웃 12:00,4.38,2606,33.3068460968274,126.317477950826
랜딩관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 랜딩관 제주신화월드 호텔앤리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=clddvc73,체크인 15:00 체크아웃 12:00,4.38,2606,33.3068460968274,126.317477950826
제주신화월드 호텔앤리조트,호텔,제주 서귀포시 안덕면 신화역사로304번길 38,서광리 산24,1670-1188,https://www.shinhwaworld.com,미제공,4.35,1366,33.3068460968274,126.317477950826
제주신화월드 호텔앤리조트,호텔,제주 서귀포시 안덕면 신화역사로304번길 38,서광리 산24,1670-1188,https://www.shinhwaworld.com,미제공,4.35,1366,33.3068460968274,126.317477950826
제주신화월드 호텔앤리조트,호텔,제주 서귀포시 안덕면 신화역사로304번길 38,서광리 산24,1670-1188,https://www.shinhwaworld.com,미제공,4.35,1366,33.3068460968274,126.317477950826
제주신화월드 호텔앤리조트,호텔,제주 서귀포시 안덕면 신화역사로304번길 38,서광리 산24,1670-1188,https://www.shinhwaworld.com,미제공,4.35,1366,33.3068460968274,126.317477950826
제주신화월드 호텔앤리조트,호텔,제주 서귀포시 안덕면 신화역사로304번길 38,서광리 산24,1670-1188,https://www.shinhwaworld.com,미제공,4.35,1366,33.3068460968274,126.317477950826
제주신화월드 호텔앤리조트,호텔,제주 서귀포시 안덕면 신화역사로304번길 38,서광리 산24,1670-1188,https://www.shinhwaworld.com,미제공,4.35,1366,33.3068460968274,126.317477950826
제주신화월드,"콘도,리조트",제주 서귀포시 안덕면 신화역사로304번길 38,서광리 산24,1670-8800,https://www.shinhwaworld.com,미제공,4.36,7574,33.3068460968274,126.317477950826
제주신화월드,"콘도,리조트",제주 서귀포시 안덕면 신화역사로304번길 38,서광리 산24,1670-8800,https://www.shinhwaworld.com,미제공,4.36,7574,33.3068460968274,126.317477950826
제주신화월드,"콘도,리조트",제주 서귀포시 안덕면 신화역사로304번길 38,서광리 산24,1670-8800,https://www.shinhwaworld.com,미제공,4.36,7574,33.3068460968274,126.317477950826
제주신화월드,"콘도,리조트",제주 서귀포시 안덕면 신화역사로304번길 38,서광리 산24,1670-8800,https://www.shinhwaworld.com,미제공,4.36,7574,33.3068460968274,126.317477950826
제주신화월드,"콘도,리조트",제주 서귀포시 안덕면 신화역사로304번길 38,서광리 산24,1670-8800,https://www.shinhwaworld.com,미제공,4.36,7574,33.3068460968274,126.317477950826
제주신화월드,"콘도,리조트",제주 서귀포시 안덕면 신화역사로304번길 38,서광리 산24,1670-8800,https://www.shinhwaworld.com,미제공,4.36,7574,33.3068460968274,126.317477950826
제주신화빌라스,"콘도,리조트",제주 서귀포시 안덕면 신화역사로304번길 38 신화빌라스,서광리 산24,064-908-3000,https://www.shinhwavillas.com/,미제공,4.54,848,33.3068460968274,126.317477950826
제주신화빌라스,"콘도,리조트",제주 서귀포시 안덕면 신화역사로304번길 38 신화빌라스,서광리 산24,064-908-3000,https://www.shinhwavillas.com/,미제공,4.54,848,33.3068460968274,126.317477950826
제주신화빌라스,"콘도,리조트",제주 서귀포시 안덕면 신화역사로304번길 38 신화빌라스,서광리 산24,064-908-3000,https://www.shinhwavillas.com/,미제공,4.54,848,33.3068460968274,126.317477950826
제주신화빌라스,"콘도,리조트",제주 서귀포시 안덕면 신화역사로304번길 38 신화빌라스,서광리 산24,064-908-3000,https://www.shinhwavillas.com/,미제공,4.54,848,33.3068460968274,126.317477950826
제주신화빌라스,"콘도,리조트",제주 서귀포시 안덕면 신화역사로304번길 38 신화빌라스,서광리 산24,064-908-3000,https://www.shinhwavillas.com/,미제공,4.54,848,33.3068460968274,126.317477950826
제주신화빌라스,"콘도,리조트",제주 서귀포시 안덕면 신화역사로304번길 38 신화빌라스,서광리 산24,064-908-3000,https://www.shinhwavillas.com/,미제공,4.54,848,33.3068460968274,126.317477950826
서귀포칼호텔,5성급,제주 서귀포시 칠십리로 242,토평동 486-3,064-733-2001,http://seogwipo.kalhotel.co.kr,체크인 15:00 체크아웃 12:00,4.49,1595,33.246291585581,126.581363679229
제주성산골든튤립호텔,4성급,제주 서귀포시 성산읍 일출로 31,고성리 329-1,064-744-7500,http://www.goldentulipjeju.co.kr/,체크인 15:00 체크아웃 11:00,4.15,2070,33.4593463975221,126.415322024739
WE호텔,5성급,제주 서귀포시 1100로 453-95 WE호텔,회수동 30,064-730-1200,https://wehotel.co.kr/,체크인 15:00 체크아웃 11:00,4.42,2087,33.2861496677769,126.44445525581
호텔시리우스,4성급,제주 제주시 도령로 133,연동 2334-4,064-743-1147,http://hotelsirius.co.kr,체크인 15:00 체크아웃 11:00,4.44,777,33.4934418614594,126.491053978301
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,4성급,제주 제주시 서부두2길 26,건입동 1443-2,064-795-7000,http://www.whistlelark.co.kr/,체크인 15:00 체크아웃 11:00,4.21,2482,33.5174024584584,126.52750107846
플레이스 캠프 제주,4성급,제주 서귀포시 성산읍 동류암로 20,고성리 297-1,064-766-3000,http://playcegroup.com/,체크인 14:00 체크아웃 11:00,4.41,5490,33.4499888955364,126.918286184573
유탑유블레스호텔제주,4성급,제주 제주시 조천읍 조함해안로 502,함덕리 1269-9,0507-1425-9307,http://ublessjeju.com/,체크인 15:00 체크아웃 11:00,4.34,3489,33.5424154154218,126.666222590508
신라스테이 제주,4성급,제주 제주시 노연로 100,연동 274-16,064-717-9000,http://www.shillastay.com/jeju,체크인 15:00 체크아웃 12:00,4.52,1707,33.4855442721997,126.490899184243
라마다프라자 제주호텔,5성급,제주 제주시 탑동로 66,삼도이동 1255,064-729-8100,http://www.ramadajeju.co.kr/,체크인 15:00 체크아웃 12:00,4.42,3921,33.5187932678584,126.518398833244
더 그랜드 섬오름,호텔,제주 서귀포시 막숙포로 118,법환동 1498,0507-1341-7240,http://www.sumorum.com,체크인 15:00 체크아웃 11:00,0.0,1044,33.2328497012749,126.509720811792
라마다제주시티홀,4성급,제주 제주시 중앙로 304,이도이동 1025-8,064-759-8831,http://www.ramadajejucity.com/,체크인 14:00 체크아웃 11:00,4.31,1904,33.4935326453019,126.534313495602
베스트웨스턴 제주 호텔,4성급,제주 제주시 도령로 27,노형동 1295-16,064-797-6000,http://www.bestwesternjeju.com/,체크인 15:00 체크아웃 11:00,4.31,2094,33.4878001190012,126.481864825168
퍼스트70 호텔,4성급,제주 서귀포시 명동로 46 퍼스트70 호텔,서귀동 182,064-766-0000,https://blog.naver.com/first70hotel,체크인 15:00 체크아웃 11:00,4.31,1256,33.2472803990485,126.566854071948
퍼스트70 호텔,4성급,제주 서귀포시 명동로 46 퍼스트70 호텔,서귀동 182,064-766-0000,https://blog.naver.com/first70hotel,체크인 15:00 체크아웃 11:00,4.31,1256,33.2472803990485,126.566854071948
노블피아 호텔,호텔,제주 서귀포시 명동로 46,서귀동 182,064-733-7377,http://www.noblepia.co.kr,체크인 15:00 체크아웃 11:00,4.27,773,33.2472803990485,126.566854071948
노블피아 호텔,호텔,제주 서귀포시 명동로 46,서귀동 182,064-733-7377,http://www.noblepia.co.kr,체크인 15:00 체크아웃 11:00,4.27,773,33.2472803990485,126.566854071948
다인오세아노 호텔,4성급,제주 제주시 애월읍 애월해안로 394,고내리 84,1811-0012,http://www.dyneoceano.com/,체크인 15:00 체크아웃 11:00,4.34,1492,33.4725088190749,126.350335761566
호텔 케니 서귀포,3성급,제주 서귀포시 동문로 42 호텔케니 서귀포,서귀동 270-9,0507-1373-5017,https://booking.naver.com/booking/3/bizes/535689,체크인 15:00 체크아웃 11:00,4.4,1634,33.2502262308781,126.565052645156
롯데시티호텔 제주,4성급,제주 제주시 도령로 83,연동 2324-6,064-730-1000,https://www.lottehotel.com/jeju-city/ko.html,체크인 15:00 체크아웃 12:00,4.52,2170,33.4906417333233,126.486603641414
스위트 호텔 제주,5성급,제주 서귀포시 중문관광로72번길 67 스위트호텔,색달동 2812-10,064-738-3800,http://jeju.suites.co.kr/,체크인 15:00 체크아웃 11:00,4.46,1755,33.2493312069879,126.408208015097
호텔리젠트마린제주,4성급,제주 제주시 서부두2길 20,건입동 1443,02-777-5080,http://hotelrmblue.com/,체크인 15:00 체크아웃 12:00,4.37,2240,33.5174367117678,126.526908675361
그라벨호텔,4성급,제주 제주시 일주서로 7316,외도일동 401-8,064-740-8000,https://blog.naver.com/grabelhoteljeju,체크인 15:00 체크아웃 11:00,4.29,1963,33.4924357447142,126.428703258364
호텔난타,4성급,제주 제주시 선돌목동길 56-26 호텔난타,오등동 10-1,0507-1446-1805,http://www.hotelnanta.com/kr/,체크인 14:00 체크아웃 11:00,4.49,1677,33.4456543573036,126.547596144209
호텔 더본 제주,4성급,제주 서귀포시 색달로 18,색달동 2138,064-766-8988,http://www.hoteltheborn.com/,체크인 15:00 체크아웃 11:00,4.46,4786,33.2593502022602,126.406411895097
호텔 더본 제주,4성급,제주 서귀포시 색달로 18,색달동 2138,064-766-8988,http://www.hoteltheborn.com/,체크인 15:00 체크아웃 11:00,4.46,4786,33.2593502022602,126.406411895097
호텔더본 탐모라,뷔페,제주 서귀포시 색달로 18,색달동 2138,미제공,미제공,미제공,4.53,3805,33.2593502022602,126.406411895097
호텔더본 탐모라,뷔페,제주 서귀포시 색달로 18,색달동 2138,미제공,미제공,미제공,4.53,3805,33.2593502022602,126.406411895097
더베스트제주성산호텔,4성급,제주 서귀포시 성산읍 동류암로 26,고성리 298-5,0507-1401-0550,미제공,체크인 15:00 체크아웃 11:00,4.2,1635,33.4496912320246,126.917136600762
유니호텔 제주 앤 풀빌라,4성급,제주 제주시 애월읍 애월해안로 656,구엄리 1216,0507-1473-5010,https://unihotel.co.kr/,체크인 15:00 체크아웃 11:00,4.47,3178,33.4796211740418,126.373205411458
브라운 스위트 제주 호텔앤리조트,4성급,제주 서귀포시 성산읍 고성오조로 94,고성리 1201,064-786-6200,http://brownsuitesjeju.com/,체크인 15:00 체크아웃 11:00,4.16,1520,33.453472166403,126.414443775801
디아넥스호텔,3성급,제주 서귀포시 안덕면 산록남로762번길 71,상천리 380-7,0507-1329-6005,https://theannex.thepinx.co.kr/,체크인 15:00 체크아웃 11:00,4.51,892,33.303272328359,126.392115908193
"헤이, 서귀포",3성급,제주 서귀포시 태평로 363 헤이 서귀포,서귀동 820-1,064-763-0024,미제공,체크인 15:00 체크아웃 11:00,4.33,1171,33.2462338920515,126.560306333888
휘닉스 제주,"콘도,리조트",제주 서귀포시 성산읍 섭지코지로 107,고성리 127-2,02-1577-0069,phoenixhnr.co.kr/page,체크인 14:00 체크아웃 11:00,4.27,3502,33.4300893301405,126.927299730861
탐라스테이호텔,4성급,제주 제주시 애월읍 애월해안로 881,하귀2리 2732,064-742-8848,http://tamnastay.com/,체크인 15:00 체크아웃 11:00,4.29,1188,33.4869588776622,126.39123062109
봄 그리고 가을리조트,3성급,제주 서귀포시 성산읍 해맞이해안로 2660 시흥근생및주택,시흥리 208,064-784-2211,http://www.springnautumn.com,체크인 15:00 체크아웃 11:00,4.36,2665,33.4738942045257,126.910875194597
제주 빠레브호텔,4성급,제주 서귀포시 김정문화로 15,강정동 173,0507-1374-8905,http://www.barevehotel.com/,체크인 15:00 체크아웃 11:00,4.45,868,33.2524872356612,126.506659168631
팜파스호텔 제주,호텔,제주 제주시 서해안로 368-3 팜파스호텔제주,용담삼동 2555,064-798-9000,http://www.pampasresort.co.kr/index.html,체크인 15:00 체크아웃 11:00,4.27,509,33.5115790001918,126.484758494476
글로스터호텔 제주,4성급,제주 제주시 삼무로 57,연동 281-22,064-747-1100,http://www.gloucesterhotel.co.kr,체크인 15:00 체크아웃 11:00,4.46,812,33.4900786373109,126.492434718626
코업시티호텔 성산,4성급,제주 서귀포시 성산읍 성산등용로 28,성산리 250,064-780-9800,http://www.coopcityhotel-seongsan.co.kr/,체크인 15:00 체크아웃 11:00,4.24,1465,34.8627662816487,126.683012280454
호텔 서귀피안,호텔,제주 서귀포시 보목로64번길 178 호텔 서귀피안,보목동 1453,0507-1311-8320,https://hotelseogwipean.com/,미제공,4.54,2250,33.2444347067328,126.590664595572
에벤에셀호텔,호텔,제주 제주시 조천읍 조함해안로 504 에벤에셀호텔,함덕리 1269-19,064-805-0110,미제공,미제공,4.18,845,33.5423426080187,126.666874047932
에벤에셀호텔,호텔,제주 제주시 조천읍 조함해안로 504 에벤에셀호텔,함덕리 1269-19,064-805-0110,미제공,미제공,4.18,845,33.5423426080187,126.666874047932
세인트 비치 호텔,호텔,제주 제주시 조천읍 조함해안로 504,함덕리 1269-19,0507-1432-2301,http://www.saintbeachhotel.com,체크인 15:00 체크아웃 11:00,3.54,256,33.5423426080187,126.666874047932
세인트 비치 호텔,호텔,제주 제주시 조천읍 조함해안로 504,함덕리 1269-19,0507-1432-2301,http://www.saintbeachhotel.com,체크인 15:00 체크아웃 11:00,3.54,256,33.5423426080187,126.666874047932
호텔골든데이지 서귀포오션,4성급,제주 서귀포시 동홍로 7,서귀동 255-1,064-802-7700,http://www.hotelgoldendaisy.co.kr,체크인 15:00 체크아웃 11:00,4.25,1817,33.2493808306778,126.567447849341
이스턴호텔제주,4성급,제주 서귀포시 서호중로 65 이스턴호텔제주,서호동 1522-2,064-735-4100,http://easternhoteljeju.co.kr,체크인 15:00 체크아웃 12:00,4.48,406,33.2543667693135,126.520069473443
호텔샬롬제주,4성급,제주 제주시 동광로 34,이도2동 1174-1,064-720-7704,http://hotelshalom.co.kr/,체크인 15:00 체크아웃 11:00,4.22,687,33.5019715327085,126.532631231673
소노캄 제주,"콘도,리조트",제주 서귀포시 표선면 일주동로 6347-17,토산리 17,02-1588-4888,미제공,체크인 15:00 체크아웃 11:00,4.38,3609,33.305036988017,126.791901232879
소노캄 제주,"콘도,리조트",제주 서귀포시 표선면 일주동로 6347-17,토산리 17,02-1588-4888,미제공,체크인 15:00 체크아웃 11:00,4.38,3609,33.305036988017,126.791901232879
소노캄제주 수농제주지점,"콘도,리조트",제주 서귀포시 표선면 일주동로 6347-17 (토산리),토산리 17,064-780-7575,미제공,미제공,4.42,22,33.305036988017,126.791901232879
소노캄제주 수농제주지점,"콘도,리조트",제주 서귀포시 표선면 일주동로 6347-17 (토산리),토산리 17,064-780-7575,미제공,미제공,4.42,22,33.305036988017,126.791901232879
디아일랜드블루호텔,4성급,제주 서귀포시 태평로431번길 3,서귀동 544-2,064-762-6532,http://www.theislandblue.co.kr,체크인 15:00 체크아웃 11:00,4.27,1245,33.245876623302,126.565812111382
라마다 제주함덕호텔,4성급,제주 제주시 조천읍 신북로 470,함덕리 3066-2,064-793-5500,http://jejuhdramada.com/index.php,체크인 15:00 체크아웃 11:00,4.17,1059,33.5434843340239,126.660416379453
코업시티호텔 하버뷰,호텔,제주 서귀포시 남원읍 태위로 108,위미리 2895,064-731-9988,https://blog.naver.com/coopcity_harborview,미제공,4.41,1002,33.2745070221736,126.659116703658
코델리아S호텔,3성급,제주 서귀포시 성산읍 일주동로 4186 코델리아S호텔,오조리 990-1,0507-1334-0067,http://cordeliashotel.com,체크인 15:00 체크아웃 11:00,0.0,440,33.4549646593079,126.910139165329
스탠포드호텔앤리조트 제주,호텔,제주 제주시 애월읍 애월해안로 406,고내리 71,064-799-6020,http://www.stanfordjeju.com/,체크인 15:00 체크아웃 11:00,0.0,270,33.4713620976084,126.352576892807
씨에스호텔앤리조트,5성급,제주 서귀포시 중문관광로 198,중문동 2563-1,0507-1472-3024,http://www.seaes.co.kr/,체크인 15:00 체크아웃 11:00,4.43,1525,33.2425262560668,126.420878089828
오션스위츠 제주호텔,4성급,제주 제주시 탑동해안로 74,삼도이동 1260-1,064-720-6000,http://www.oceansuites.kr/,체크인 15:00 체크아웃 12:00,4.3,1670,33.5182749069172,126.523330649249
함덕비치스테이제주,호텔,제주 제주시 조천읍 조함해안로 474,함덕리 1010,064-782-5660,https://be4.wingsbooking.com/JEJUBEACH1111,미제공,0.0,137,33.543355149318,126.663525840972
