이름,유형,도로명주소,지번주소,전화번호,홈페이지,테마,위도,경도
제주옥상달빛,민박,제주특별자치도 제주시 조천읍 조와로5길 13,조천읍 신촌리 304-2,010-4482-8225,https://abnb.me/KYtTmvHbnsb,숙소,33.5145962080179,126.636379061029
빈하루,민박,제주특별자치도 제주시 구좌읍 해맞이해안로 1170-1,구좌읍 평대리 1979-4,070-8883-3410,http://blog.naver.com/pd_vinharu,숙소,33.5346112439719,126.839630890952
제주토끼,민박,제주특별자치도 서귀포시 법화로 70-2,하원동 1249,010-6316-4180,https://blog.naver.com/nayoung414,숙소,33.2591123573456,126.458898490915
지미스테이,민박,제주특별자치도 제주시 구좌읍 하도15길 153-3,구좌읍 하도리 55,064-782-1533,http://www.jimistay.com/,숙소,33.5128050661563,126.897284952203
다락마마,민박,제주특별자치도 제주시 구좌읍 상하도길 46-16,구좌읍 상도리 558,,http://darakmama.modoo.at/,숙소,33.5172006078106,126.866177409836
아름다운호야네,민박,제주특별자치도 서귀포시 표선면 토산중앙로 487-134,표선면 토산리 1790,010-2162-3699,https://instagram.com/aho__stay,숙소,33.3301608239851,126.760545515098
송우네민박,민박,제주특별자치도 제주시 우도면 우도로 8-22,우도면 연평리 1687,010-9458-6027,,숙소,33.4940600273396,126.953688999969
제주와봄,민박,제주특별자치도 제주시 벌랑6길 18-1,삼양삼동 2563-1,010-5208-6967,,숙소,33.5253540435369,126.578017624617
돌코롬성산,민박,제주특별자치도 서귀포시 성산읍 일출로 284-4 3층,성산읍 성산리 125-2,010-5248-1026,https://www.instagram.com/dolcorom_seongsan/,숙소,33.462710236004,126.935184099169
주스홈,민박,제주특별자치도 제주시 벌랑1길 37-12,삼양삼동 2645,010-9923-1189,,숙소,33.5259160868185,126.574037967751
유월그리고 열두마루,민박,제주특별자치도 제주시 구좌읍 한동로1길 38,구좌읍 한동리 982,0507-1364-1167,https://naver.me/xaPgTkh6,숙소,33.5357001251308,126.82531702586
달에물들다힐링스테이,민박,제주특별자치도 제주시 구좌읍 김녕로 118-10,구좌읍 김녕리 1700-4,010-2637-1129,https://www.instagram.com/dalmul_healingstay/,숙소,33.5540331016098,126.750439687993
제주영숙,민박,제주특별자치도 서귀포시 남원읍 태수로26번길 17,남원읍 태흥리 889-3,010-5913-4445,http://blog.naver.com/jejuyoungsook,숙소,33.2871062444177,126.741294886187
제주영숙,민박,제주특별자치도 서귀포시 남원읍 태수로26번길 17,남원읍 태흥리 889-3,010-5913-4445,http://blog.naver.com/jejuyoungsook,숙소,33.2871062444177,126.741294886187
홍랑,"여관,모텔",제주특별자치도 서귀포시 남원읍 태수로26번길 17,남원읍 태흥리 889-3,,,숙소,33.2871062444177,126.741294886187
홍랑,"여관,모텔",제주특별자치도 서귀포시 남원읍 태수로26번길 17,남원읍 태흥리 889-3,,,숙소,33.2871062444177,126.741294886187
밸란디,민박,제주특별자치도 제주시 구좌읍 면수길 57-1,구좌읍 하도리 3200-6,010-3377-3313,http://vaeland.modoo.at/,숙소,33.5250356342853,126.864215957053
포지타노인제주,민박,제주특별자치도 서귀포시 성산읍 신천서로 27-5 A동,성산읍 신천리 287,010-3228-2642,http://positanoinjejuu.modoo.at/,숙소,33.3430188195334,126.851163006064
난바다프리게스트하우스,민박,제주특별자치도 서귀포시 남원읍 태위로115번길 3,남원읍 위미리 2869-1,010-4048-0619,https://www.instagram.com/hyemini_jeju,숙소,33.2751904590024,126.659742303575
눈먼고래,민박,제주특별자치도 제주시 조천읍 조천7길 19-12,조천읍 조천리 3080-2,,http://www.blindwhale.co.kr/,숙소,33.538499735063,126.634460570869
유에프오펜션,민박,제주특별자치도 제주시 애월읍 애월해안로 765,애월읍 구엄리 505,010-8222-9131,https://ufopension.creatorlink.net/,숙소,33.4855023998487,126.381839597776
그린민박,민박,제주특별자치도 제주시 추자면 대서6길 6-5,추자면 대서리 173,064-742-7377,http://xn--ok1b1ot7r4c870bekh8kl.hrsite.kr/,숙소,33.9614348033195,126.293241423365
제주해나루민박,민박,제주특별자치도 서귀포시 신서로98번길 19-1 103호,강정동 126-9,010-5431-2773,http://blog.naver.com/hds1357331,숙소,33.2588994044009,126.50808824036
쏠레민박,민박,제주특별자치도 서귀포시 성산읍 성산등용로 96-1,성산읍 성산리 347-20,064-784-1668,,숙소,33.4701270062375,126.930120188325
스테이다온,민박,제주특별자치도 제주시 한경면 주전길 94-45,한경면 용수리 3655-2,010-2965-9220,https://www.instagram.com/stay.daon,숙소,33.3344921412101,126.17255729465
풀스토리6,민박,제주특별자치도 제주시 한경면 판포동1길 33-83,한경면 판포리 1641,010-2599-1369,http://poolstory6.com/,숙소,33.3671976259282,126.205683832355
백록담민박,민박,제주특별자치도 제주시 번영로 557,봉개동 1411,064-756-6573,http://backrokdam.com/,숙소,33.4874383754266,126.600334466163
힐링스테이,민박,제주특별자치도 제주시 구좌읍 한동로5길 106,구좌읍 한동리 704-3,010-7613-7038,https://blog.naver.com/adam_jeju,숙소,33.526784400188,126.828152463782
살롱드탱자,민박,제주특별자치도 제주시 구좌읍 세화11길 14,구좌읍 세화리 22-7,010-8338-8121,https://salondetangza.modoo.at/,숙소,33.5221697009499,126.861029764514
제주도작은집,민박,제주특별자치도 서귀포시 남원읍 남한로153번길 42,남원읍 남원리 1081-2,010-2370-0272,http://www.jejusmallhouse.com/,숙소,33.2882596841881,126.709263615694
봄달리,민박,제주특별자치도 제주시 구좌읍 김녕로 118-16,구좌읍 김녕리 1749-2,010-3848-4181,https://blog.naver.com/stay_bomdali,숙소,33.5536815014627,126.750718735517
바끄레민박,민박,제주특별자치도 서귀포시 남원읍 서의로 55,남원읍 남원리 904,010-9898-0042,http://blog.naver.com/guchee8211,숙소,33.2971609637817,126.709584212718
비로소433,민박,제주특별자치도 서귀포시 남원읍 태위로510번길 79-33,남원읍 남원리 2415-17,,http://biroso.co.kr/,숙소,33.2718791944143,126.694998747964
소롱코지제주,민박,제주특별자치도 서귀포시 남원읍 태위로 463-5,남원읍 남원리 2458-10,010-6780-9009,https://www.instagram.com/solongcozy/,숙소,33.2752967912711,126.696677568037
해쉴,민박,제주특별자치도 서귀포시 안덕면 난드르로 80-35,안덕면 감산리 914,010-3016-5745,https://www.hashill.kr/,숙소,33.2398748248109,126.359941492483
트믐,민박,제주특별자치도 서귀포시 대정읍 무릉전지로35번길 26-32,대정읍 무릉리 3320-18,,https://www.instagram.com/stay_trimmen,숙소,33.2696391701211,126.197237210852
송당일상,민박,제주특별자치도 제주시 구좌읍 비자림로 1818-3,구좌읍 송당리 1571-6,010-4631-7162,https://blog.naver.com/daily_songdang,숙소,33.4705726936937,126.776876139114
스톤스테이,민박,제주특별자치도 서귀포시 성산읍 일주동로 5134-1,성산읍 신산리 1081-8,010-2977-1032,http://www.instagram.com/stonestay_jeju,숙소,33.3788698567639,126.874641094616
명랑해녀홈스테이,민박,제주특별자치도 서귀포시 남원읍 신례상로38번길 8,남원읍 신례리 1337-2,010-9287-4449,https://blog.naver.com/happy_haenyeo,숙소,33.2931021080381,126.630703579792
제주를담다,민박,제주특별자치도 제주시 구좌읍 상도로 292-46,구좌읍 세화리 1858-60,010-7503-4410,https://m.place.naver.com/accommodation/1707036425/room?businessCategory=guesthouse,숙소,33.4909434505612,126.849623802895
더바당펜션,민박,제주특별자치도 제주시 애월읍 애월해안로 232 2층,애월읍 고내리 1157,064-799-5000,https://thebadang.modoo.at/,숙소,33.4670761541595,126.336703229135
미니메리,민박,제주특별자치도 서귀포시 안덕면 난드르로36번길 17,안덕면 창천리 852-4,,http://blog.naver.com/mini_merry/,숙소,33.2366783147292,126.365132091233
안나의정원,민박,제주특별자치도 제주시 조천읍 함덕14길 38,조천읍 함덕리 1399,010-9973-6269,http://blog.naver.com/zzazan73,숙소,33.5392488827649,126.665235528597
꽃신민박,민박,제주특별자치도 제주시 한경면 용금로 552-3,한경면 저지리 1312-5,,https://m.booking.naver.com/booking/3/bizes/89948,숙소,33.3371671391441,126.239075704295
하귤별장,민박,제주특별자치도 제주시 대통길 132,도평동 1366-1,010-6544-0132,http://blog.naver.com/hagyulstay,숙소,33.4824099542763,126.446214810948
제주드루앙 신촌,민박,제주특별자치도 제주시 조천읍 신촌5길 40-1 1층,조천읍 신촌리 2007-1,010-4372-3287,https://www.jejudeluang.co.kr/,숙소,33.5376714935616,126.621158291548
문스테이,민박,제주특별자치도 제주시 구좌읍 월정7길 53,구좌읍 월정리 535-1,010-7189-9347,http://blog.naver.com/de_sign_er,숙소,33.5551701748385,126.796119861691
느영나영,민박,제주특별자치도 서귀포시 예래로83번길 16,상예동 737-1,064-738-7371,http://www.jejuyoume.co.kr/,숙소,33.2526751562131,126.398048435566
돌집 달문,민박,제주특별자치도 서귀포시 안덕면 소기왓로 31-5,안덕면 창천리 766-15,010-4874-0377,https://blog.naver.com/dalmoonstory,숙소,33.2377330983829,126.368795015543
게우지코지 인 갤러리,민박,제주특별자치도 서귀포시 보목포로 179,하효동 1371,064-7635-5555,,숙소,33.244035562199,126.618547483846
윤슬스테이,민박,제주특별자치도 제주시 구좌읍 덕행로 175-24,구좌읍 행원리 1950-6,,https://blog.naver.com/mh0201mh,숙소,33.5321906838949,126.795969159814
고등어민박,민박,제주특별자치도 제주시 구좌읍 해맞이해안로 1026,구좌읍 한동리 1338-8,,http://blog.naver.com/stay_mackerel,숙소,33.5407470154872,126.830785390971
곽지로온,민박,제주특별자치도 제주시 애월읍 곽납로 62-19,애월읍 곽지리 852-1,010-8997-0003,https://instagram.com/gwakjiro.on,숙소,33.4425862957912,126.31727464445
고망난돌민박,민박,제주특별자치도 서귀포시 성산읍 일주동로 5464,성산읍 신천리 79,010-3279-1060,http://gomang.ejeju.net/,숙소,33.3530868945267,126.857845536144
퐁낭에염 언덕집,민박,제주특별자치도 제주시 애월읍 어음3길 18-21,애월읍 어음리 3586-1,010-9028-1338,http://fongnang.modoo.at/,숙소,33.4182306889396,126.333055069454
구르미 별동,민박,"제주특별자치도 제주시 구좌읍 세화합전1길 34-12 구름동,별동",구좌읍 세화리 122-2,0507-1370-5366,https://booking.naver.com/booking/3/bizes/788067,숙소,33.5126439783233,126.862124221457
제주나그네,민박,제주특별자치도 제주시 구좌읍 해맞이해안로 804,구좌읍 행원리 85-3,010-3930-5903,http://nageune.modoo.at/,숙소,33.555864840423,126.825429039253
꽃과그늘민박,민박,제주특별자치도 제주시 한경면 판조로 367,한경면 조수리 1109-1,010-6330-1737,https://blog.naver.com/client2002,숙소,33.3407338904872,126.225633108659
제주비,민박,제주특별자치도 서귀포시 남원읍 위미대화로15번길 9-5,남원읍 위미리 3130-1,,http://blog.naver.com/alleys_jeju,숙소,33.2733047797903,126.655971577128
해너울,민박,제주특별자치도 서귀포시 성산읍 산성효자로 62,성산읍 고성리 1551-1,010-3639-6536,,숙소,33.4492513719202,126.906535446517
스테이겨를,민박,제주특별자치도 제주시 한림읍 중산간서로 5082-2,한림읍 귀덕리 120-1,010-9353-5196,https://www.instagram.com/stay.laidback/,숙소,33.4181668051481,126.296850324451
하도리동동동,민박,제주특별자치도 제주시 구좌읍 하도7길 16-5,구좌읍 하도리 1247,010-4256-4229,http://m.blog.naver.com/kiw1247,숙소,33.5158470600295,126.886428737169
쉴로제주스테이,민박,제주특별자치도 제주시 조천읍 선교로 159-22,조천읍 선흘리 2071-1,010-8223-3663,https://blog.naver.com/tptkddp1,숙소,33.4864095047658,126.703142526843
제주드루앙 조천점,민박,제주특별자치도 제주시 조천읍 조천7길 42 1층,조천읍 조천리 2678,010-4372-3287,https://jejudeluang.modoo.at/,숙소,33.5392854430007,126.636564254201
보이드,민박,제주특별자치도 제주시 한림읍 금능3길 23-9,한림읍 금능리 1520,010-2793-8468,http://void.jeju.kr/,숙소,33.3893629312781,126.225214663736
만희민박,민박,제주특별자치도 제주시 구좌읍 해맞이해안로 1112,구좌읍 평대리 2033-1,010-7129-7533,https://blog.naver.com/manhee5259/221520709792,숙소,33.5373167835741,126.837299953155
폴개우영,민박,제주특별자치도 서귀포시 남원읍 태위로894번길 13,남원읍 태흥리 1040-4,,https://blog.naver.com/polgae_oo,숙소,33.2839332119712,126.741723986968
마치민박,민박,제주특별자치도 제주시 내도중길 25,내도동 464,010-9959-5841,http://blog.naver.com/diealmond,숙소,33.4962022700922,126.441550260907
우영팟민박,민박,제주특별자치도 제주시 우도면 천진동길 27,우도면 연평리 1886,010-4662-0926,https://tosunilove.modoo.at/,숙소,33.4976817553189,126.95105946972
두그루하우스,민박,제주특별자치도 서귀포시 안덕면 화순중앙로124번길 30,안덕면 화순리 852-2,064-900-9584,http://blog.naver.com/lesunmi,숙소,33.2415766616351,126.332250379083
와산민박,민박,제주특별자치도 제주시 조천읍 중산간동로 837-64,조천읍 와산리 1620-2,0507-1305-6306,https://www.instagram.com/washan837/,숙소,33.4962204977421,126.674543436854
안월선 민박,민박,제주특별자치도 서귀포시 표선면 하천로 137,표선면 하천리 734-1,010-5067-1200,https://anwolseon.creatorlink.net/,숙소,33.3522849032897,126.839221286634
제주하도,민박,제주특별자치도 제주시 구좌읍 문주란로5길 23-4,구좌읍 하도리 1583,,http://blog.naver.com/leebyoungsub,숙소,33.5211431782788,126.887145174376
경복민박,민박,제주특별자치도 제주시 애월읍 신엄안3길 93-14,애월읍 신엄리 2938,010-6693-9310,https://blog.naver.com/kkb9310,숙소,33.473670361943,126.357311160573
귤림동화,민박,제주특별자치도 서귀포시 남원읍 원님로25번길 33-14,남원읍 의귀리 734-3,010-6265-1315,https://www.instagram.com/gyullim_donghwa,숙소,33.3156640503909,126.71715231849
모물펜션,민박,제주특별자치도 제주시 애월읍 곽지9길 4 가동,애월읍 곽지리 1545-1,064-799-1111,http://momuljeju.weebly.com/,숙소,33.4524190789566,126.308212594597
북촌리멤버,민박,제주특별자치도 제주시 조천읍 북촌북길 58-7,조천읍 북촌리 1343,010-9169-3641,https://www.instagram.com/jeju_bukchon_remember/,숙소,33.549614814961,126.692004409723
청수리오즈네,민박,제주특별자치도 제주시 한경면 청수동9길 9,한경면 청수리 164-3,010-6337-9559,http://blog.naver.com/vkjisook,숙소,33.305729587417,126.256127916108
김녕히든플레이스,민박,제주특별자치도 제주시 구좌읍 김녕항3길 18-8 1층,구좌읍 김녕리 3740,010-2610-5082,https://hiddenplace.modoo.at/,숙소,33.5574351332071,126.746867717511
나바론민박,민박,제주특별자치도 제주시 추자면 추자로 76-1,추자면 영흥리 366-3,064-742-8205,http://xn--910bp1mh5cych.com/,숙소,33.96081767564,126.295340764192
올레브릿지하우스,민박,제주특별자치도 서귀포시 안덕면 화순중앙로124번길 26,안덕면 화순리 854-7,010-3001-5564,https://blog.naver.com/obh3001,숙소,33.2417136562629,126.332660817724
스테이무림,민박,제주특별자치도 서귀포시 남원읍 위미대화로 23-26,남원읍 위미리 2923,010-5284-8953,https://blog.naver.com/stay_murim/,숙소,33.2723290925349,126.658051488669
오챠드삼달,민박,제주특별자치도 서귀포시 성산읍 일주동로 5290,성산읍 삼달리 12-1,064-782-5290,https://orchrdsamdal.modoo.at/,숙소,33.3667474039682,126.866628804886
제주 드 루앙 김녕 1236점,민박,제주특별자치도 제주시 구좌읍 김녕로17길 20-1 1층,구좌읍 김녕리 1236,010-4372-3287,https://www.jejudeluang.co.kr/,숙소,33.5569814693438,126.753942227577
스페이스농농 제주,민박,제주특별자치도 서귀포시 안덕면 사계북로41번길 27-45,안덕면 사계리 3191-3,,https://www.instagram.com/spacenonnon/,숙소,33.2370304805601,126.289427158418
스코리아청굴물,민박,제주특별자치도 제주시 구좌읍 김녕로1길 78 1층,구좌읍 김녕리 1295,010-3796-1496,https://scoriacheonggulmul.modoo.at/,숙소,33.5578053782003,126.751476426497
제주캐슬,민박,제주특별자치도 서귀포시 태평로92번길 36,호근동 1591-2,064-739-6780,https://rsvn.onda.me/jejucastle,숙소,33.2412271378703,126.531247047952
온예가,민박,제주특별자치도 서귀포시 성산읍 온평애향로 68-6,성산읍 온평리 961-1,010-5480-0700,https://www.instagram.com/on_ye.ga,숙소,33.4051985663168,126.903461507938
포도민박,민박,제주특별자치도 제주시 조천읍 함덕로 4,조천읍 함덕리 272-60,010-6815-3113,http://instagram.com/4dostay_jeju,숙소,33.5404949674048,126.674122318742
수수주택,민박,제주특별자치도 제주시 한림읍 수원3길 1 2층,한림읍 수원리 758-10,010-8978-8092,https://blog.naver.com/sion119,숙소,33.425183514555,126.268233125564
하귀씨 민박,민박,제주특별자치도 제주시 애월읍 가문동길 11 3층,애월읍 하귀2리 2680,010-9962-6828,http://blog.naver.com/imer21,숙소,33.4841439446674,126.394285125421
하도리안,민박,제주특별자치도 제주시 구좌읍 해맞이해안로 1788,구좌읍 하도리 433,070-4117-1788,,숙소,33.5259867898095,126.892869449472
명월민박,민박,제주특별자치도 제주시 한림읍 명월로4길 5,한림읍 명월리 1719-1,010-8401-1719,http://blog.naver.com/jeju5fullmoon,숙소,33.3867170862295,126.265904637635
리틀해녀,민박,제주특별자치도 제주시 용마로3길 10-7,용담삼동 531-31,0507-1416-3721,https://www.airbnb.co.kr/rooms/19375605?guests=1&adults=1&s=67&unique_share_id=89c0638e-c546-4423-8e13-038d350ec454,숙소,33.514777128157,126.505580222983
하이하도,민박,제주특별자치도 제주시 구좌읍 면수2길 19,구좌읍 하도리 3212-1,010-7761-4347,https://blog.naver.com/sag3611,숙소,33.5227007684038,126.869080185548
소싯적,민박,제주특별자치도 서귀포시 남원읍 태위로603번길 3 1호,남원읍 남원리 1423-3,0507-1473-4454,http://www.instargram.com/sosicjuck,숙소,33.2771630308646,126.710962590254
지슬하우스,민박,제주특별자치도 제주시 조천읍 조천11길 30,조천읍 조천리 2562-4,010-7299-6824,http://blog.naver.com/gamja_pro,숙소,33.5384137624968,126.638281255096
수동,민박,제주특별자치도 제주시 한경면 수동1길 3,한경면 저지리 1196-1,010-3916-5337,https://www.instagram.com/kleinblue_sudong/,숙소,33.3370946983285,126.236057951075
기차펜션,민박,제주특별자치도 서귀포시 성산읍 서성일로 314 A동,성산읍 난산리 2958-5,010-7342-0601,https://www.instagram.com/jeju_train_pension,숙소,33.4091853787983,126.825493928078
제주사계,민박,제주특별자치도 서귀포시 성산읍 서성일로 689-54 나동,성산읍 수산리 2722-35,010-2792-9244,,숙소,33.4317438006929,126.858105412911
아람별방,민박,제주특별자치도 제주시 구좌읍 문주란로1길 35-5,구좌읍 하도리 1628-1,010-7233-6779,https://goodjeju77.modoo.at/,숙소,33.5217420016492,126.882946413905
추자도민박,민박,제주특별자치도 제주시 추자면 묵리2길 37-7,추자면 묵리 399-1,064-744-0907,,숙소,33.9454405707843,126.314580639079
슬로우맨션,민박,제주특별자치도 제주시 구좌읍 종달항길 33,구좌읍 종달리 486-3,010-8939-7804,https://www.instagram.com/_slowmansion,숙소,33.4968723887737,126.909179680295
놀멍쉬멍,민박,제주특별자치도 제주시 조천읍 함덕6길 19-14,조천읍 함덕리 1062,064-782-2822,https://mengmeng.modoo.at/,숙소,33.5420902360196,126.661713308293
달고나민박,민박,제주특별자치도 제주시 구좌읍 대수길 10-14,구좌읍 평대리 2028-1,010-5716-1250,https://blog.naver.com/dalgonahome,숙소,33.5363264216798,126.839335638728
엉알이모야,민박,제주특별자치도 제주시 한경면 청수서2길 94-2,한경면 청수리 1281-4,0507-148-1905,http://www.instagram.com/emoya.jeju,숙소,33.3117086632163,126.244415896104
다락홈스테이,민박,제주특별자치도 서귀포시 대정읍 신영로 68-6,대정읍 하모리 1063-2,064-794-2821,,숙소,33.2205266328219,126.249810584125
더스테이 해안1373,민박,제주특별자치도 제주시 해안마을길 208,해안동 1373-3,010-6691-1373,https://www.instagram.com/thestayhaean_1373/,숙소,33.4476892524624,126.46107042233
신촌2548,민박,제주특별자치도 제주시 조천읍 신촌북1길 7 2층,조천읍 신촌리 2548-8,010-7517-4023,https://www.instagram.com/sinchon2548,숙소,33.5346170432006,126.617566887101
별이네민박,민박,제주특별자치도 서귀포시 표선면 토산망동로 15,표선면 토산리 348-2,010-5553-1386,http://cafe.daum.net/my-ymjo,숙소,33.3100465029198,126.781688554833
소흔,민박,제주특별자치도 서귀포시 대정읍 무릉중앙로182번길 13,대정읍 무릉리 3934-6,010-6414-0056,http://blog.naver.com/njchoon,숙소,33.2594712208316,126.188758546414
화순가옥,민박,제주특별자치도 서귀포시 안덕면 화순로87번길 31-4,안덕면 화순리 407-1,010-2672-9539,http://blog.naver.com/stayhwasoon,숙소,33.2448725116056,126.337440737329
낙천주의자들,민박,제주특별자치도 제주시 구좌읍 세화7길 28,구좌읍 세화리 1383,010-3198-4123,http://instagram.com/hoteloptimists,숙소,33.5232454904425,126.860388631712
더반스위트,민박,제주특별자치도 제주시 구좌읍 덕평로 9-8,구좌읍 덕천리 1186,010-3373-5074,https://instagram.com/the_barn_sweet,숙소,33.4841946264328,126.746200936946
하하하도,민박,제주특별자치도 제주시 구좌읍 문주란로3길 5-4,구좌읍 하도리 1538,010-9798-1822,https://blog.naver.com/haha-hado,숙소,33.5195292584385,126.885027073248
1950하우스,민박,제주특별자치도 제주시 구좌읍 덕평로 364-2,구좌읍 덕천리 243,010-9955-4045,,숙소,33.5017150772517,126.771043748837
애월이막,민박,제주특별자치도 제주시 애월읍 곽납로 160-14,애월읍 납읍리 2143,010-3737-0454,https://blog.naver.com/aewol2mak,숙소,33.4404191034864,126.327080655849
제주여백 스테이,민박,제주특별자치도 제주시 한림읍 한림해안로 285,한림읍 수원리 946-7,010-9446-6298,https://instagram.com/blank.jeju,숙소,33.4265636670071,126.263982585358
한담길스테이,민박,제주특별자치도 제주시 애월읍 애월로 92,애월읍 애월리 2071-3,,,숙소,33.4644748493666,126.317084050801
광령그린민박,민박,제주특별자치도 제주시 애월읍 광령남6길 43-1 1층,애월읍 광령리 4073-4,064-799-9089,http://jejuwood.co.kr/,숙소,33.4482140101485,126.425162194216
보리솔펜션,민박,제주특별자치도 서귀포시 예래로 222,하예동 50,010-7434-1494,https://www.instagram.com/borisol_jeju,숙소,33.2445739667274,126.389734140689
토끼풀민박,민박,제주특별자치도 제주시 구좌읍 한동북1길 42,구좌읍 한동리 1338-16,010-6440-7629,https://blog.naver.com/tokkipul_minbak,숙소,33.5415510231124,126.829182804094
조용한생활,민박,제주특별자치도 제주시 구좌읍 월덕로 537,구좌읍 덕천리 302-3,,http://www.aquietlife.co.kr/,숙소,33.503498872651,126.771764522125
마음이봉봉,민박,제주특별자치도 제주시 구좌읍 한동로6길 54,구좌읍 한동리 1828-9,010-8602-9387,https://www.instagram.com/maumi_bonbon_jeju,숙소,33.5364888624456,126.817148776558
청수풀,민박,제주특별자치도 제주시 한경면 청수서5길 1-31,한경면 청수리 123-10,0507-1480-5629,https://instagram.com/cheongsuful_jeju?utm_medium=copy_link,숙소,33.3024625715403,126.255169784785
김녕홈,민박,제주특별자치도 제주시 구좌읍 김녕항3길 12-37,구좌읍 김녕리 4005,010-5063-9351,https://blog.naver.com/jinip13579,숙소,33.5578806868138,126.746728900491
유년시절,민박,제주특별자치도 제주시 애월읍 녹근로 523,애월읍 봉성리 325-3,0507-1321-6237,http://www.instagram.com/childhood_stay,숙소,33.3818338246455,126.338441026491
제주대전아줌마민박,민박,제주특별자치도 서귀포시 남원읍 태위로139번길 20,남원읍 위미리 2802-1,,https://jejuminbak.modoo.at/,숙소,33.2764362581154,126.662095208233
류은주택,민박,제주특별자치도 서귀포시 남원읍 하례로620번길 80,남원읍 하례리 1196-7,010-9919-1354,https://blog.naver.com/on_maum,숙소,33.2954802212278,126.619077119699
근동이네,민박,제주특별자치도 제주시 구좌읍 동복로2길 2,구좌읍 동복리 1481,010-5171-9131,http://blog.naver.com/gdihouse,숙소,33.5526916342614,126.71245454022
하도에서 민박,민박,제주특별자치도 제주시 구좌읍 하도서문길 5,구좌읍 하도리 1914-1,010-7134-1905,https://www.instagram.com/p/CU6dnplF-ij/?utm_medium=copy_link,숙소,33.5277015365287,126.881292297896
미로객잔,민박,제주특별자치도 서귀포시 표선면 녹산로5번길 116-16,표선면 가시리 3017,,http://blog.naver.com/mirrro,숙소,33.3600040241963,126.75513290017
오해피데이,민박,제주특별자치도 제주시 도두봉2길 25,도두일동 1710-9,010-3385-1898,http://ohhappydayjeju.com/,숙소,33.5058718040904,126.471413393119
하도언니네민박,민박,제주특별자치도 제주시 구좌읍 일주동로 3526-26 A동,구좌읍 하도리 1084-3,064-782-0060,http://naver.me/5U1uWAjG,숙소,33.5099762016051,126.885853274527
제주의사계,민박,제주특별자치도 서귀포시 안덕면 사계남로 10-6,안덕면 사계리 3443,010-5777-7111,,숙소,33.2297014624428,126.292580953545
별빛소랑 제주,민박,제주특별자치도 제주시 한경면 한경해안로 474-28,한경면 신창리 1371-2,010-4419-1253,https://blog.naver.com/starlovejeju,숙소,33.3403475237597,126.173261672208
아름다운가펜션,민박,제주특별자치도 서귀포시 대정읍 도원중로 148,대정읍 신도리 2607-1,010-3691-1949,https://www.airbnb.co.kr/rooms/52227408,숙소,33.2782072654275,126.175241304677
더딘,민박,제주특별자치도 제주시 구좌읍 송당동2길 47,구좌읍 송당리 1527-1,010-6358-3120,https://blog.naver.com/thedene,숙소,33.469783634377,126.781803980857
에이치빌,민박,제주특별자치도 제주시 구좌읍 덕행로 175-32,구좌읍 행원리 1950-5,010-2090-7744,http://jejuhvill.co.kr/,숙소,33.5316596329936,126.796346555309
초록초록,민박,제주특별자치도 제주시 한림읍 명재로 17,한림읍 협재리 1303-1,010-9906-9297,https://www.instagram.com/chorok._.chorok/,숙소,33.3951990243405,126.24879772275
스테이프롬제이,민박,제주특별자치도 제주시 조천읍 신흥로 42,조천읍 신흥리 107-3,010-2580-0927,http://fromjay.co.kr/,숙소,33.5471389520284,126.652140354802
스테이애옥,민박,제주특별자치도 서귀포시 성산읍 일주동로 5252-7,성산읍 삼달리 22-13,010-7312-2766,https://instagram.com/stayaeok,숙소,33.3695829319552,126.868417158983
마이하프타임,민박,제주특별자치도 서귀포시 성산읍 일주동로 5358,성산읍 신풍리 61-1,064-783-7676,,숙소,33.3609940375782,126.864282280577
제주시절,민박,제주특별자치도 제주시 한림읍 금능길 82,한림읍 금능리 1429,010-4207-4260,http://instagram.com/jeju_days,숙소,33.3887951989262,126.231580202737
소요소림,민박,제주특별자치도 제주시 구좌읍 덕평로 366-14,구좌읍 덕천리 193,0504-0904-2432,http://soyosorim.com/,숙소,33.5008844045307,126.771126541096
제주집,민박,제주특별자치도 서귀포시 성산읍 삼달로 235-17,성산읍 삼달리 1180-1,010-2695-4342,https://blog.naver.com/jolirouge,숙소,33.3742452697389,126.843659018934
샤라의정원,민박,제주특별자치도 제주시 조천읍 선교로 198-2,조천읍 선흘리 3976,010-6629-1535,https://www.instagram.com/garden_of_shara/,숙소,33.4858029752931,126.699021533997
문워크,민박,제주특별자치도 제주시 한림읍 월령안길 20-1,한림읍 월령리 371-5,,http://www.jejumoonwalk.com/,숙소,33.3769063195722,126.214300856327
지꺼지게 귀덕,민박,제주특별자치도 제주시 한림읍 귀덕남1길 6,한림읍 귀덕리 1675,010-8862-1839,https://blog.naver.com/pleasantlyjeju,숙소,33.4340632765148,126.293871906075
앨리스의그림호텔,민박,제주특별자치도 제주시 애월읍 신엄안3길 18-2,애월읍 신엄리 2659,010-5644-1404,https://www.instagram.com/alices_drawinghotel,숙소,33.474736471929,126.364776194194
소제목스테이,민박,제주특별자치도 제주시 조천읍 조흥길 87-43,조천읍 조천리 1013-6,010-4752-1730,http://pf.kakao.com/_QbExhxj,숙소,33.5453202473608,126.642605762364
투레빗 프라이빗하우스,민박,제주특별자치도 제주시 애월읍 상가북6길 14,애월읍 상가리 1183-1,010-8998-5481,https://tworabbitjeju.modoo.at/,숙소,33.4507232107206,126.345634493322
