이름,유형,도로명주소,지번주소,전화번호,영업시간,별점,리뷰,메뉴이름,메뉴가격,위도,경도,테마
뷰스트,"카페,디저트",제주 서귀포시 안덕면 형제해안로 30,사계리 2147-2,0507-1356-9272,매일 10:00 ~ 21:00,4.44,4862.0,"['현무암라떼', '화산송이라떼', '밤라떼', '모히또 에이드', '레몬 에이드', '망고 에이드', '리얼초코라떼']","['8,000원', '8,000원', '8,000원', '8,500원', '8,500원', '8,500원', '7,500원']",33.2277795897998,126.303480599611,맛집
카페루시아 본점,"카페,디저트",제주 서귀포시 안덕면 난드르로 49-17,창천리 840-1,064-738-8879,매일 09:30 ~ 21:00,4.47,3512.0,"['아메리카노', '카페라떼', '아인슈페너', '에이드', '젤라또 (수제)', '소금빵']","['6,000원', '7,000원', '8,000원', '8,000원', '5,000원', '4,000원']",33.2352212649383,126.363080109987,맛집
김녕 쪼끌락 카페,"카페,디저트",제주 제주시 구좌읍 김녕로21길 21 쪼끌락카페,김녕리 1223-20,0507-1412-3436,"월,화,목,금,토,일 10:30 ~ 18:30",0.0,2213.0,"['돌하르방아포가토', '돌하르방라떼', '김녕라떼', '노을라떼', '제주라떼', '에메랄드레몬에이드', '돌하르방쿠키', '돌하르방 초코라떼', '당근케이크', '한라봉홍차케이크', '아메리카노', '1L 아이스아메리카노', '얼그레이/카모마일/페퍼민트...', '한라봉/청귤/제주레몬 차', '생맥주']","['7,000원', '6,500원', '6,500원', '6,500원', '6,500원', '6,500원', '2,000원', '6,500원', '7,000원', '6,800원', '5,000원', '7,000원', '5,000원', '5,500원', '변동']",33.5577615845919,126.755198992522,맛집
고도,카페,제주 제주시 어영길 15 1층. 고도,용담삼동 1173-1,0507-1387-1514,"월,화,목,금,토,일 10:00 ~ 19:00",4.58,580.0,"['무화과치즈케이크', '보늬밤마차치즈케이크', '필터커피', '아메리카노', '카페라떼', '엑설런트라떼', '민트레몬에이드', '바닐라라떼', '아이스초코']","['변동', '8,000원', '변동', '5,000원', '5,500원', '6,500원', '6,500원', '6,000원', '7,000원']",33.5190019605951,126.494961876491,맛집
앨리스,"카페,디저트",제주 제주시 서광로32길 36-1 2층,이도이동 1188-15,064-702-1179,"월,수,목,금,토,일 12:00 ~ 22:00",4.63,842.0,"['복숭아오름빙수(2~3인)', '복숭아오름빙수(4인)', '녹차오름빙수 2-3인', '녹차오름빙수 4인', '녹차오름치즈케익빙수 2-3인', '녹차오름치즈케익빙수 4인', '녹차치즈케익빙수 2-3인', '녹차치즈케익빙수 4인', '치즈케익빙수 2-3인', '치즈케익빙수 4인', '초코오름빙수 2-3인', '초코오름빙수 4인']","['18,000원', '24,000원', '12,000원', '16,000원', '15,000원', '19,000원', '17,000원', '23,000원', '17,000원', '23,000원', '14,000원', '18,000원']",33.4975689073159,126.529566208637,맛집
용두암오메기떡집,"떡,한과",제주 제주시 용담로7길 6,용담2동 603-121,0507-1358-0049,매일 07:30 ~ 19:30,4.57,7389.0,"['오메기떡(개당)', '오메기떡 혼합 30개/500원할인', '오쟁이(개당)', '견과류(개당)', '오메기떡 혼합 50개/1000원할인']","['700원', '21,000원', '700원', '800원', '35,000원']",33.5129496756374,126.510638295242,맛집
하라케케,"카페,디저트",제주 서귀포시 속골로 29-10 16호,호근동 1638-2,0507-1311-0878,매일 09:00 ~ 21:00,0.0,1569.0,"['말차라떼', '블루베리스무디']","['8,000원', '9,000원']",33.242864497508,126.52771954894,맛집
섬나라오메기떡,떡카페,제주 제주시 용해로 6 섬나라오메기,용담삼동 1029,064-724-4455,매일 07:00 ~ 19:00,4.53,1756.0,"['30개', '50개', '60개', '개당(오메기떡)', '개당(견과류)', '개당(감귤)', '개당(콩가루오쟁이떡)', '개당(흑임자오쟁이떡)', '개당(밥알찰떡)']","['24,000원', '40,000원', '48,000원', '800원', '800원', '800원', '800원', '800원', '800원']",33.516721753137,126.502065836615,맛집
애월아시시,"카페,디저트",제주 제주시 애월읍 애월해안로 474 지하1층,신엄리 2801-5,010-4451-3400,매일 09:30 ~ 21:00,0.0,417.0,"['티라미수', '티라미수 케익', '아메리카노', '흑임자 티라미수', '한라봉 티라미수', '딸기 티라미수', '선라이즈에이드', '선셋 에이드', '에메랄드 블루 에이드', '보리개역크림라떼', '바닐라라떼', '카페라떼', '아인슈페너', '초코라떼', '복숭아아이스티']","['8,500원', '18,000원', '6,500원', '9,000원', '9,000원', '9,000원', '8,000원', '8,000원', '8,000원', '7,500원', '7,000원', '7,000원', '7,000원', '7,500원', '6,500원']",33.4776302724644,126.35499636246,맛집
보라지붕,"카페,디저트",제주 제주시 조천읍 함덕19길 6,함덕리 960-3,0507-1326-6827,매일 10:00 ~ 22:00,4.85,2197.0,"['제주당근케이크', '바스크치즈케이크', '홀케이크', '아메리카노', '제주당근주스']","['7,000원', '7,000원', '변동', '5,000원', '변동']",33.5407653195167,126.670158753162,맛집
신촌덕인당,베이커리,제주 제주시 조천읍 신북로 36,신촌리 2586-1,064-783-6153,매일 09:00 ~ 17:00,4.39,2554.0,"['보리빵', '팥보리빵(통팥)', '쑥(단팥)빵']","['900원', '1,200원', '1,000원']",33.5322191412442,126.618610076075,맛집
봄날,"카페,디저트",제주 제주시 애월읍 애월로1길 25,애월리 2540,0507-1494-4999,매일 09:00 ~ 21:30,0.0,10632.0,"['아메리카노', '콜드브루', '콜드브루라떼', '바닐라라떼', '카페라떼', '아인슈페너', '카푸치노', '카페모카', '녹차', '한라봉차', '카라멜마키아토', '제주감귤밀크티', '복숭아아이스티', '핫/아이스초코', '녹차라떼']","['5,500원', '6,000원', '6,500원', '6,500원', '6,000원', '7,000원', '6,000원', '7,000원', '5,500원', '6,500원', '7,000원', '6,500원', '5,500원', '7,000원', '7,000원']",33.4625070040388,126.30958807087,맛집
보룡제과,베이커리,제주 서귀포시 성산읍 고성오조로 48-1,고성리 2747-28,064-782-5472,매일 08:00 ~ 21:00,4.58,3147.0,"['마늘바게트', '대파빵', '인절미빵', '크림치즈마늘바게트', '한라봉파이', '소금빵', '당근보리파운드', '마약빵']","['3,200원', '3,800원', '3,100원', '3,600원', '4,000원', '2,000원', '4,000원', '2,300원']",33.4480043759846,126.915223237733,맛집
리부아르,"카페,디저트",제주 제주시 애월읍 애월해안로 686 3층 LIBOIRE CAFE,구엄리 1258-8,0507-1344-5574,매일 10:00 ~ 21:00,0.0,728.0,"['쑥 오메기 버터바', '감귤 크림브륄레', 'Salt Bille Coffee', '한라봉 선셋', 'Brown Cheese Croffle', 'Butter bar', 'Melon Soda', 'Butter Bille Latte', '아메리카노', '감귤차', '말차라떼', 'Mandarin Ade']","['5,500원', '6,000원', '8,000원', '7,500원', '8,000원', '5,500원', '7,500원', '8,000원', '6,000원', '6,000원', '7,500원', '7,500원']",33.4819460818341,126.375220750659,맛집
풀베개,"카페,디저트",제주 서귀포시 안덕면 화순서서로 492-4,서광리 1756-1,064-792-2717,매일 10:00 ~ 20:00,4.17,3604.0,"['스윗풀베개', '마음', '에스프레소', '아메리카노', '아메리카노 싱글 오리진', '카페라떼', '플렛 화이트', '아포가토', '에스프레소 콘파냐', '바닐라라떼', '딸기라떼', '풀베게 귤 아이스티', '바이스크레메', '풀베게 블렌드', '녹차라떼']","['6,500원', '7,000원', '6,000원', '6,000원', '7,000원', '7,000원', '7,000원', '7,000원', '6,000원', '7,000원', '7,000원', '7,000원', '7,000원', '8,000원', '6,500원']",33.2855138377706,126.303222736957,맛집
듀포레,베이커리,제주 제주시 서해안로 579 듀포레,용담삼동 1092,0507-1386-4515,매일 10:00 ~ 21:00,4.54,3652.0,"['아이스 아메리카노', '터키 카이막 set', '카이막라떼', '블루베리 카이막 요거트라떼', '더티 팡도르', '더티 크루아상', '바스크 치즈 케이크', '리치라벤더티', '메론크림소다', '블루크림소다', '핫 아메리카노', '핫 카페라떼', '아이스 카페라떼', '핫 바닐라빈 라떼', '아이스 바닐라빈 라떼']","['6,500원', '12,000원', '8,500원', '8,500원', '8,500원', '6,500원', '7,000원', '7,500원', '7,500원', '7,500원', '6,000원', '6,500원', '7,000원', '7,000원', '7,500원']",33.5185278083226,126.500094327525,맛집
공설,"카페,디저트",제주 제주시 공설로 15 공설,삼도일동 562-8,064-723-3479,화~일 11:00 ~ 21:00,0.0,,,,33.4985374760667,126.516678697231,맛집
소색채본,"카페,디저트",제주 서귀포시 안덕면 사계남로216번길 24-61 소색채본,사계리 113,0507-1356-1686,매일 09:00 ~ 20:00,0.0,3083.0,"['소색채본 크루아상', '썸머 바스켓', '한라봉 무스케이크', '쪽파 베이글', '감자치즈 베이글', '소금빵', '플레인베이글']","['변동', '변동', '변동', '변동', '변동', '변동', '변동']",33.2351178178847,126.313645335479,맛집
함덕카페 어반정글 그레이밤부,브런치카페,제주 제주시 조천읍 일주동로 1611 1층,북촌리 371-1,0507-1323-5911,매일 11:00 ~ 18:30,0.0,1606.0,"['썸머에이드', '블루코코넛아이스크림', '수박쥬스', '정글슈페너', '어반슈페너', '그린슈페너', '과일에이드', '허니버터감자튀김', '아메리카노', '카페라떼', '바닐라라떼', '과일차', '얼그레이갸또']","['8,000원', '8,000원', '7,500원', '8,000원', '8,000원', '8,000원', '6,500원', '6,000원', '6,000원', '6,500원', '7,000원', '6,500원', '7,000원']",33.5529030454954,126.704296319191,맛집
카페한라산,"카페,디저트",제주 제주시 구좌읍 면수1길 48,하도리 3200-9,064-783-1522,매일 09:30 ~ 21:00,4.62,4292.0,"['제주당근케이크', '에스프레소', '카푸치노', '얼그레이', '쟈스민', '페퍼민트', '여행중밀크티', '아메리카노', '한라봉 온차', '카페라떼', '카페 바닐라라떼', '한라봉아이스티', '한라봉에이드']","['6,500원', '5,000원', '6,000원', '5,000원', '5,000원', '5,000원', '7,000원', '5,000원', '6,500원', '6,000원', '6,500원', '7,000원', '7,500원']",33.5247225065427,126.862904444735,맛집
클랭블루,"카페,디저트",제주 제주시 한경면 한경해안로 552-22,신창리 1293-1,0507-1335-5338,매일 10:00 ~ 19:00,4.46,2890.0,"['클랭블루제철주스', '우도땅콩라떼', '감귤아이스티', '오늘의케익', '성산유기농말차라떼']","['9,000원', '8,000원', '8,000원', '8,000원', '8,000원']",33.3448726520792,126.177314651522,맛집
다소니,차,제주 제주시 오남로6길 24,오라일동 995-15,064-752-5533,매일 11:00 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00,4.5,830.0,"['단팥죽', '열무국수', '들깨죽', '도토리묵 대', '들깨메밀칼국수', '들깨수제비', '비빔밥', '연잎밥', '냉과일쥬스', '십전대보탕', '대추차']","['9,000원', '9,000원', '9,000원', '12,000원', '10,000원', '9,000원', '9,000원', '12,000원', '7,000원', '7,000원', '7,000원']",33.4906785255353,126.517663784871,맛집
푸딩푸딩,"카페,디저트",제주 제주시 남성로 12 1층,용담일동 2824,010-7597-4620,월~토 12:00 ~ 21:00,0.0,100.0,"['판나코타(우유푸딩)', '커스터드푸딩', '초코푸딩', '녹차푸딩', '참깨푸딩', '커피푸딩', '흑임자푸딩(판매 중단)', '아메리카노(hot/iced)', '카페라테(hot/iced)', '푸딩라테']","['6,000원', '6,500원', '6,000원', '6,000원', '6,000원', '6,000원', '6,000원', '3,500원', '4,000원', '4,800원']",33.5012101804951,126.513115943209,맛집
서울앵무새 제주점,"카페,디저트",제주 서귀포시 색달중앙로 162,색달동 1045,0507-1333-1940,매일 09:00 ~ 20:00,0.0,1176.0,[],[],33.2696448069146,126.416642362701,맛집
조식,"카페,디저트",제주 제주시 애월읍 어림비로 272,어음리 3459-1,0507-1333-1940,"월,수,목,금,토,일 10:00 ~ 16:00",4.86,368.0,"['조식플레이트', '커피', '착즙쥬스', '프렌치토스트']","['19,000원', '7,000원', '8,000원', '15,000원']",33.4105260206414,126.33318588147,맛집
웨스트그라운드,"카페,디저트",제주 제주시 한경면 신한로 183-16 웨스트그라운드,두모리 568-1,0507-1314-3855,매일 11:00 ~ 19:00,0.0,800.0,"['애플망고빙수', '애플망고스무디', '애플망고에이드', '애플망고라떼', '애플망고 푸딩', '바나나 푸딩', '딸기 푸딩', '아메리카노', '카페라떼(ice)', '말차카페라떼', 'West라떼(only ice)', 'Ground라떼', '레몬에이드', '청귤에이드', '패션후르츠에이드']","['38,000원', '11,000원', '11,000원', '11,000원', '13,000원', '9,000원', '9,000원', '6,500원', '7,500원', '9,000원', '9,500원', '9,500원', '8,000원', '8,000원', '8,500원']",33.3391687886088,126.196463481857,맛집
델문도 김녕점,"카페,디저트",제주 제주시 구좌읍 해맞이해안로 140,김녕리 462-15,010-3268-2804,매일 08:00 ~ 22:00,0.0,1390.0,"['아메리카노', '아이스 아메리카노', '문도슈페너', '로얄 밀크티', '백향과귤 착즙주스', '김녕바당라떼']","['6,000원', '6,500원', '8,500원', '8,000원', '8,500원', '10,000원']",33.5634107650522,126.768403444281,맛집
디뷰,"카페,디저트",제주 제주시 노형7길 9-16 1층 디뷰,노형동 3801-9,070-4139-9999,매일 10:00 ~ 19:00,4.9,708.0,"['디뷰 다이닝', '화이트 라구', '디뷰 스테이크', '리코타치즈샐러드', '연어샐러드', '버섯샐러드', '디뷰 브런치', '디뷰 프렌치', '디뷰 바스켓', '아란치니', '구운버섯 샌드위치', '과카몰리 샌드위치', '연어 샌드위치', '단호박 스프', '감자스프']","['21,000원', '14,000원', '24,000원', '14,000원', '14,000원', '13,000원', '14,000원', '12,000원', '10,000원', '9,000원', '9,000원', '9,000원', '9,000원', '5,000원', '4,000원']",33.4799925225259,126.477507973988,맛집
슬로보트,"카페,디저트",제주 제주시 애월읍 하귀2길 46-16,하귀1리 330,0507-1389-1455,매일 10:00 ~ 19:00,4.69,1428.0,"['핸드드립커피', '유기농 티', '레드와인', '까눌레', '뉴욕치즈케잌', '제주에일', '스텔라 아르투아', '로렌조 네로 다볼라(glass)', '루 갯 퍼플(glass)', '루 갯 그린(glass)', '뱅쇼', '아뜰리에 하우스 블랜드', '슬로보트 다크 블랜드', '오늘의 싱글 빈', '디카페인 블랜드']","['7,500원', '7,500원', '10,000원', '3,500원', '5,500원', '9,000원', '10,000원', '12,000원', '10,000원', '10,000원', '10,000원', '7,500원', '7,500원', '7,500원', '8,000원']",33.490099197435,126.414373843192,맛집
스타벅스 성산일출봉점,카페,제주 서귀포시 성산읍 일출로 284-5,성산리 109-11,1522-3232,매일 07:30 ~ 19:00,4.46,6141.0,"['카페 아메리카노', '카페 라떼', '스타벅스 돌체 라떼', '카라멜 마키아또', '카푸치노', '카페 모카', '화이트 초콜릿 모카', '콜드 브루', '자몽 허니 블랙 티', '아이스 자몽 허니 블랙 티', '망고 바나나 블렌디드', '에스프레소 프라푸치노', '자바 칩 프라푸치노']","['4,500원', '5,000원', '5,900원', '5,900원', '5,000원', '5,500원', '5,900원', '4,900원', '5,700원', '5,700원', '6,300원', '5,500원', '6,300원']",33.462865838381,126.935500240865,맛집
벙커하우스,"카페,디저트",제주 서귀포시 막숙포로41번길 66,법환동 140,0507-1358-0803,매일 09:00 ~ 21:00,4.44,2473.0,['아메리카노'],['변동'],33.2404621096995,126.519224758808,맛집
고사리커피,"카페,디저트",제주 제주시 구좌읍 중산간동로 2064,송당리 1152-2,0507-1340-9316,"월,화,목,금,토,일 11:00 ~ 18:00",0.0,3145.0,"['다쿠아즈 패키지', '쌀 다쿠아즈', '누룽지 치즈케이크', '고사리커피', '고사리라떼', '크림커피', '아메리카노', '당근차', '감귤차', '감귤에이드']","['16,500원', '7,500원', '8,500원', '6,500원', '6,500원', '7,500원', '5,500원', '6,500원', '7,000원', '7,500원']",33.4733772525897,126.764083005021,맛집
오복떡집,떡카페,제주 제주시 동문로2길 10 오복떡집,일도1동 1480-3,064-753-4641,"매일 08:00 ~ 20:00 / 휴무일
둘째,넷째,다섯째 수요일",4.31,4900.0,"['1개(팥.견과류.콩가루.흑임자)', '25개', '25개(냉동)', '48개', '48개(냉동)']","['1,000원', '20,000원', '23,000원', '37,000원', '40,000원']",33.5123662357335,126.52664297991,맛집
크래커스 대정점,카페,제주 서귀포시 대정읍 보성구억로126번길 34 1층,안성리 1858-1,064-792-8900,매일 08:30 ~ 17:30,4.49,850.0,"['에스프레소 플라이트', '에스프레소 비기너', '아메리카노', '카페라떼', '썸머라떼', '유자 크림슨', '솔티드 크래커', '바스크 치즈케이크']","['7,000원', '7,000원', '5,000원', '5,500원', '7,000원', '6,000원', '3,000원', '6,000원']",33.2632889543077,126.279694828876,맛집
버터모닝,베이커리,제주 제주시 애월읍 하광로 279,광령리 3798-3,064-712-0461,수~금 10:30 ~ 14:30,4.62,1727.0,"['버터모닝', '치즈타르트']","['7,000원', '3,000원']",33.4642534000856,126.422961306682,맛집
카페구할구 제주,"카페,디저트",제주 제주시 구좌읍 월정5길 48-2 카페구할구 제주,월정리 514,0507-1316-5953,매일 10:00 ~ 20:00,0.0,240.0,"['구할구커피', '말차말차', '초코초코', '제주말차 카푸치노', '말차크로플', '바닐라크로플', '청귤에이드', '감귤착즙주스', '브라운치즈크로플', '라떼']","['8,000원', '9,000원', '9,000원', '7,500원', '8,000원', '8,000원', '8,000원', '7,500원', '14,000원', '7,000원']",33.5545630024732,126.795113259508,맛집
마녀의 언덕 카페,"카페,디저트",제주 서귀포시 예래해안로 205 1층,하예동 702,010-5003-8816,매일 09:00 ~ 18:00,4.52,1690.0,"['애플망고스무디', '애플망고에이드', '딸기라떼ICE', '말차라떼ICE', '브런치B']","['7,500원', '6,500원', '7,000원', '7,000원', '16,000원']",33.2340284062731,126.38446150444,맛집
인스밀,베이커리,제주 서귀포시 대정읍 일과대수로27번길 22 1층,일과리 1291,0507-1352-5661,매일 11:30 ~ 18:30,4.41,4825.0,"['보리개역', '바닐라빈 라떼', '보리 아이스크림', '아메리카노', '라떼', '카카오', '보리녹차', '보리홍차', '보리과즐', '보리 스콘', '마농 스콘']","['6,000원', '7,000원', '7,000원', '6,000원', '6,500원', '6,000원', '6,000원', '6,500원', '4,000원', '4,000원', '4,500원']",33.2384787715141,126.229230662407,맛집
성산 카페 브런치 난산리다방 & 사진관 조아가지구,"카페,디저트",제주 서귀포시 성산읍 난산로41번길 39-2,난산리 1173-1,0507-1362-1317,매일 09:30 ~ 14:30,4.98,3239.0,"['브런치 메뉴 (오전, 오후 모두가능)', '브런치 사이드 메뉴 (버섯크림스프)', '디저트메뉴 추천 (사이드 추천)', '한우 냉스테이크 (수비드)', '아메리카노', '딸기라떼 (신메뉴)', '아인슈페너 (다방라떼)']","['17,000원', '11,000원', '9,000원', '20,000원', '5,000원', '7,000원', '6,000원']",33.3989434701253,126.867902004261,맛집
망고홀릭 제주본점,"카페,디저트",제주 제주시 삼무로5길 2 1층,연동 271-40,064-746-8778,매일 10:00 ~ 22:00,4.49,1070.0,"['신선로 눈꽃빙수(망고코코넛)', '망고홀릭 생망고 디저트', '오리지널 생망고 쉐이크', '아메리카노', '에스프레소', '카페라떼', '카푸치노', '망고요거트', '카페모카', '카라멜라떼', '바닐라라떼', '아인슈패너']","['18,000원', '14,000원', '8,500원', '3,500원', '3,500원', '4,500원', '5,000원', '4,000원', '5,000원', '5,000원', '5,000원', '6,000원']",33.4907168024438,126.491955173426,맛집
피커스 제주,"카페,디저트",제주 제주시 아연로 444-1 2층,오등동 613,0507-1401-0240,매일 10:00 ~ 21:50,4.44,1310.0,"['PICK 에이드', '한라봉에이드', '아빠딸', '오씨자몽', '바닐라빈라떼']","['7,000원', '7,000원', '7,000원', '6,700원', '6,700원']",33.4738817185569,126.528770546154,맛집
풍림다방 송당점,"카페,디저트",제주 제주시 구좌읍 중산간동로 2267-4 풍림다방 송당점,송당리 1377-1,1811-5775,매일 10:30 ~ 18:00,0.0,6256.0,"['풍림브레붸', '쇼콜라쇼', '아메리카노', '카페 타히티', '아이스 쇼콜라쇼', '풍림더치', '더치라떼', '아이스 아메리카노', '무농약 감귤쥬스', '제주 뎅유지차', '제주 뎅유지 아이스티', '풍림 수제 쌍화자', '소프트 아이스크림', '아포가토', '디카페인 더치']","['8,000원', '8,000원', '6,000원', '8,500원', '8,500원', '7,000원', '7,500원', '6,000원', '8,000원', '8,000원', '8,000원', '8,000원', '6,000원', '7,000원', '8,000원']",33.4718737008442,126.785710834013,맛집
테라로사커피 중문 에코라운지점,카페,제주 서귀포시 일주서로 1166,상예동 2676,1668-2764,매일 09:00 ~ 20:00,0.0,743.0,"['케냐 이아가즈 피베리', '인도네시아 리방 가요 무사라', '브라질 칸디도', '피지 서머 블렌드', '슬리피캣 디카페인', '아메리카노', '카페라테', '카푸치노', '에스프레소 마키아토', '에스프레소 더블']","['6,500원', '7,000원', '6,000원', '6,500원', '6,000원', '5,300원', '6,000원', '5,500원', '5,500원', '5,300원']",33.2649746414385,126.388651274332,맛집
멜버즈,"카페,디저트",제주 제주시 한라대학로 114 골든스퀘어 1층 멜버즈,,0507-1436-0790,매일 08:00 ~ 22:00,4.64,808.0,"['생망고 눈꽃 우유 빙수', '초당옥수수 눈꽃 우유 빙수', '클래식 눈꽃 우유 팥빙수', '어니언스프', '머쉬룸스프', '잠봉 뵈르 샌드위치', '터키 브뤼 샌드위치', '바질 치즈 파니니', '마블 말차로쉐 파운드(미니홀파운드)', '무화과 파운드(미니홀파운드)', '소금빵', '대파 치즈 소금빵', '클래식 버터 스콘', '레몬생크림케이크', '바스크 치즈 케이크', '브라우니', '아메리카노(HOT)', '아메리카노(ICE)', '라떼(HOT)', '라떼(ICE)', '바닐라 라떼(HOT)', '과일쥬스 [자몽](ICE)', '애플 망고 스무디(ICE)', '자몽에이드(ICE)', '망고 패션후르츠 에이드(ICE)', '퍼플 레몬에이드(ICE)', '에티오피아 시다모(HOT)', '에티오피아 시다모(ICE)', '브라질 시티오 바라(HOT)', '브라질 시티오 바라(ICE)', '디카페인 페루(HOT)', '레드 베리(HOT)', '레드 베리(ICE)', '자몽허브티(HOT)', '자몽허브티(ICE)', '베러 댄 초코 허브티', 'M 슬로우시티 220G', 'M 에티오피아 시다모 220G', 'M 브라질 시티오 바라 220G', 'M 디카페인 과테말라 220G', '드립백 슬로우시티', '드립백 에티오피아 시다모', '드립백 브라질 시티오 바라', '드립백 디카페인 과테말라', '멜버즈 슬로우시티 커피티백', '커피 캡슐(1개)', '커피 캡슐 세트(15개)', '얼음 + 아이스 컵 + 홀더 컵 추가', '핫 컵 + 홀더컵 추가', '아이스 컵 +홀더 컵 추가', '홀더 컵 추가']","['25,000원', '23,000원', '19,000원', '8,900원', '9,800원', '9,800원', '9,800원', '14,500원', '10,800원', '10,500원', '3,500원', '4,000원', '4,500원', '6,500원', '6,900원', '6,500원', '4,600원', '4,600원', '5,500원', '5,500원', '6,500원', '7,000원', '7,000원', '6,800원', '6,500원', '6,500원', '7,000원', '7,000원', '6,500원', '6,500원', '7,000원', '6,200원', '6,200원', '6,500원', '6,500원', '6,500원', '15,000원', '17,000원', '15,000원', '16,000원', '16,000원', '16,000원', '16,000원', '16,000원', '16,000원', '1,200원', '17,000원', '800원', '500원', '500원', '300원']",33.4760757847189,126.482743771781,맛집
비케이브,"카페,디저트",제주 제주시 조천읍 동백로 122 1층 비케이브,선흘리 161-6,0507-1410-8022,매일 10:00 ~ 18:00,0.0,1442.0,['비케이브 라떼'],"['8,000원']",33.5083633589431,126.720021102518,맛집
트라이브,"카페,디저트",제주 제주시 애월읍 애월로 11,애월리 2467,064-799-1031,매일 09:00 ~ 21:00,4.68,1750.0,"['수플레 한라봉/돌하르방', '한라봉소르베에이드', '수플레 한라산/동백', '마카롱세트', '아메리카노', '콜드브루', '바닐라라떼', '시나몬 카푸치노', '카페라떼', '말리부오렌지', '피치크러쉬', '피치볼라썸', '우유', '스크류 드라이버']","['16,000원', '7,500원', '17,000원', '10,000원', '5,500원', '6,000원', '6,300원', '6,300원', '6,000원', '8,000원', '9,000원', '9,000원', '9,000원', '9,000원']",33.4601140551333,126.311231581006,맛집
오버더센스,"카페,디저트",제주 서귀포시 칠십리로 655 오버더센스,하효동 1098,0507-1409-1115,매일 09:30 ~ 19:30,0.0,1295.0,"['특제 마제소바', '프렌치 토스트', '갈레트', '팬케이크', '크로크무슈', '키쉬', '아인슈페너', '듁스 아메리카노', '듁스 카페라떼']","['14,900원', '16,900원', '17,900원', '16,900원', '15,900원', '14,900원', '6,500원', '6,000원', '6,000원']",33.2508988248671,126.615250210134,맛집
카페리 CAFERI 구좌읍 평대리카페,"카페,디저트",제주 제주시 구좌읍 평대2길 39 1층,평대리 1947-4,010-2047-8244,매일 11:00 ~ 18:00,0.0,1120.0,"['당근케이크', '제주도 한라산케이크', '감귤 그라니타', '당근티라미수', '당근주스']","['7,500원', '7,500원', '6,000원', '6,500원', '8,000원']",33.5339526545326,126.839652454381,맛집
아침미소목장,"카페,디저트",제주 제주시 첨단동길 160-20,월평동 155,0507-1469-2545,"월,수,목,금,토,일 10:00 ~ 17:00",0.0,2514.0,"['카이막', '카이막 치즈 브레드 세트', '팜타입 요구르트 150ml', '팜타입 요구르트 500ml', '한라봉 요구르트 1컵 300ml', '한라봉 요구르트 500ml', '그릭요거트 100g', '스트링치즈 100g', '모짜렐라치즈 125g', '우유잼 180g', '우유웨하스', '랑그드샤', '밀크쿠키 1봉(3개입)', '소똥쿠키(초코)', '우유잼 소프트캔디']","['12,900원', '16,000원', '2,000원', '5,000원', '4,500원', '6,000원', '3,500원', '8,000원', '8,000원', '10,000원', '8,000원', '15,000원', '4,000원', '4,000원', '5,000원']",33.4547876226385,126.586252039479,맛집
스타벅스 서귀포DT점,카페,제주 서귀포시 일주서로 11,강정동 246,1522-3232,매일 07:00 ~ 22:00,4.49,5807.0,"['카페 아메리카노', '카페 라떼', '스타벅스 돌체 라떼', '카라멜 마키아또', '카푸치노', '카페 모카', '화이트 초콜릿 모카', '콜드 브루', '자몽 허니 블랙 티', '아이스 자몽 허니 블랙 티', '망고 바나나 블렌디드', '에스프레소 프라푸치노', '자바 칩 프라푸치노']","['4,500원', '5,000원', '5,900원', '5,900원', '5,000원', '5,500원', '5,900원', '4,900원', '5,700원', '5,700원', '6,300원', '5,500원', '6,300원']",33.2495228494612,126.506723255212,맛집
찰리공장,"카페,디저트",제주 제주시 중앙로13길 21 1층,일도1동 1484-7,0507-1318-3507,매일 10:00 ~ 21:00,0.0,1274.0,"['제주생초콜릿(7개입)', '제주버터샌드(7개입)']","['10,000원', '10,000원']",33.5115723025524,126.526739326266,맛집
리치망고 애월본점,카페,제주 제주시 애월읍 애월해안로 272,고내리 474-1,070-4243-5959,동절기) 매일 10:00 ~ 18:30 ·하절기) 매일 10:00 ~ 20:00,4.46,2851.0,"['스페셜망고쉐이크', '코코넛애플망고쉐이크', '올인원망고쉐이크', '망고라쉬', '망고밀크쉐이크', '블루베리밀크쉐이크', '파인애플밀크쉐이크', '바나나피넛밀크쉐이크', '딸기밀크쉐이크', '프리미엄 애플망고쉐이크', '한라봉 쉐이크', '수박 쉐이크']","['7,500원', '8,000원', '9,000원', '6,500원', '6,000원', '6,000원', '6,000원', '6,000원', '6,000원', '8,500원', '6,500원', '6,000원']",33.4685292780823,126.340190598564,맛집
스타벅스 제주신화월드R점,카페,제주 서귀포시 안덕면 신화역사로304번길 38,서광리 산24,1522-3232,"월~금 07:30 ~ 21:00 · 토,일 07:30 ~ 22:00",4.45,4077.0,"['카페 아메리카노', '카페 라떼', '스타벅스 돌체 라떼', '카라멜 마키아또', '카푸치노', '카페 모카', '화이트 초콜릿 모카', '콜드 브루', '자몽 허니 블랙 티', '아이스 자몽 허니 블랙 티', '망고 바나나 블렌디드', '에스프레소 프라푸치노', '자바 칩 프라푸치노']","['4,500원', '5,000원', '5,900원', '5,900원', '5,000원', '5,500원', '5,900원', '4,900원', '5,700원', '5,700원', '6,300원', '5,500원', '6,300원']",33.3049726791712,126.31635202613,맛집
