이름,카테고리,별점,도로명주소,지번주소,전화번호,테마
크래커스 한경점,"카페,디저트",4.54,제주 제주시 한경면 낙수로 1,조수리 1363-1,064-773-0080,맛집
바람과 사람 그리고 미술관 바사그미,"카페,디저트",0.0,제주 제주시 1100로 2894-72,연동 680-26,064-712-1300,맛집
카페토르토니,카페,4.63,제주 제주시 아란5길 20,아라일동 6097-16,064-721-1656,맛집
자드부팡,"카페,디저트",0.0,제주 제주시 조천읍 북흘로 385-216,선흘리 954,0507-1321-7634,맛집
함덕 카페 라라떼 커피,카페,0.0,제주 제주시 조천읍 신북로 494 1층 (제주구옥 단독주택),함덕리 1231,0507-1315-3444,맛집
카페미깡,"카페,디저트",4.92,,제주 서귀포시 남원읍 하례리 964-2,0507-1418-3678,맛집
쿠이,"카페,디저트",4.59,제주 제주시 애월읍 곽지3길 21 쿠이,곽지리 1575-10,0507-1344-9728,맛집
라온베이커리 남녕점,베이커리,0.0,제주 제주시 남녕로 11 남녕마트 내 라온베이커리,노형동 1292-12,0507-1321-4240,맛집
리틀보라카이 브런치&펍,"카페,디저트",4.87,제주 서귀포시 색달중앙로 38 1층 리틀보라카이,색달동 2284-1,0507-1404-0213,맛집
골목카페옥수,"카페,디저트",4.43,제주 제주시 애월읍 소길1길 19 골목카페옥수,소길리 652-1,0507-1318-6516,맛집
Anthracite Coffee 한림,"카페,디저트",4.38,제주 제주시 한림읍 한림로 564,동명리 1715,0507-1318-6516,맛집
제주설심당 본점,"카페,디저트",4.23,제주 제주시 서해안로 504,용담삼동 2319-6,064-745-2145,맛집
서귀피안 본점,케이크전문,4.44,제주 서귀포시 일주동로 9022,서호동 153-8,070-7747-5914,맛집
스타벅스 서귀포올레점,카페,0.0,제주 서귀포시 중정로 69,서귀동 274-6,1522-3232,맛집
젤라떼리아섬,아이스크림,4.63,제주 제주시 노형5길 7 1층 젤라떼리아섬,노형동 3796-11,0507-1344-6808,맛집
오늘은녹차한잔,"카페,디저트",4.55,제주 서귀포시 표선면 중산간동로 4772,성읍리 2197,064-787-6888,맛집
미쿠니,"카페,디저트",4.61,제주 제주시 서흘길 41,삼양일동 1779,0507-1305-4478,맛집
쇠소깍빵명장,베이커리,4.35,제주 서귀포시 쇠소깍로 122 쇠소깍빵명장,하효동 994-2,0507-1466-8594,맛집
오뚜기빵집,베이커리,4.07,제주 서귀포시 남원읍 태위로 129,위미리 2850,064-764-1888,맛집
북촌에가면,카페,4.23,제주 제주시 조천읍 북촌5길 6 북촌에가면,북촌리 1262-1,064-752-1507,맛집
떼르떼,카페,4.27,제주 제주시 수덕로 81 1층,노형동 2586-3,0507-1406-8877,맛집
그계절,"카페,디저트",4.48,제주 제주시 구좌읍 한동로 119 1동,한동리 2040,010-3140-3121,맛집
숙자네숟가락젓가락 섭지코지2호점,"해물,생선요리",0.0,제주 서귀포시 성산읍 섭지코지로46번길 10 숙자네숟가락젓가락 2호점,고성리 214-12,0507-1485-0375,맛집
협재흑돼지더꽃돈본점,돼지고기구이,4.51,제주 제주시 한림읍 한림로 366,협재리 1781-1,0507-1364-5393,맛집
우진해장국,향토음식,4.41,제주 제주시 서사로 11,삼도이동 831,064-757-3393,맛집
해오반 함덕점,한식,0.0,제주 제주시 조천읍 조함해안로 514 2층 해오반 함덕점,함덕리 1004-17,064-784-4544,맛집
올래국수,국수,4.38,제주 제주시 귀아랑길 24 올래국수,연동 301-19,064-742-7355,맛집
이춘옥원조고등어쌈밥 제주애월본점,쌈밥,4.63,제주 제주시 애월읍 일주서로 7213,하귀1리 266-1,0507-1402-9914,맛집
성산 고등어쌈밥 김치찜,쌈밥,0.0,제주 서귀포시 성산읍 섭지코지로25번길 122-5 고등어쌈밥,고성리 232,0507-1427-4944,맛집
숙성도 노형본관,돼지고기구이,4.56,제주 제주시 원노형로 41 1층,노형동 941-2,0507-1335-5211,맛집
제주광해 애월,한식,4.58,제주 제주시 애월읍 애월해안로 867 2층,하귀2리 2740-8,0507-1312-4789,맛집
제주순풍해장국 함덕점,해장국,4.84,제주 제주시 조천읍 신북로 604 1층,함덕리 4144,064-782-8866,맛집
미영이네,생선회,4.53,제주 서귀포시 대정읍 하모항구로 42,하모리 770-29,064-792-0077,맛집
갈치요리 전문점 뜰에,"해물,생선요리",4.79,제주 제주시 애월읍 애월로11길 23-1,애월리 1819-39,064-799-1479,맛집
연돈,돈가스,4.58,제주 서귀포시 일주서로 968-10,색달동 2156-2,0507-1386-7060,맛집
해오름식당,한식,4.33,제주 제주시 오일장서길 21 해오름식당,도두일동 1181-5,0507-1344-0368,맛집
먹돌 제주본점,국수,4.54,제주 제주시 월성로 26,용담2동 2747-6,0507-1405-9777,맛집
금돈가 제주 애월해안도로 본점,돼지고기구이,4.71,제주 제주시 애월읍 가문동남길 63 1층,하귀2리 2717,0507-1396-6466,맛집
까망돼지 중문점,돼지고기구이,4.58,제주 서귀포시 색달중앙로 21 여미지하우스1층 까망돼지본점,색달동 2534-9,0507-1316-6543,맛집
연동 돌담흑돼지,돼지고기구이,4.83,제주 제주시 연동7길 35 2층 돌담흑돼지,연동 273-35,0507-1389-6090,맛집
중문 돌담흑돼지,돼지고기구이,0.0,제주 서귀포시 일주서로 909 1층,색달동 2272-1,0507-1391-4619,맛집
고집돌우럭 중문점,한식,4.77,제주 서귀포시 일주서로 879,색달동 2351,0507-1408-1540,맛집
색달식당중문갈치조림구이본점,"해물,생선요리",0.0,제주 서귀포시 예래로 255-18 1층,하예동 350,0507-1321-1741,맛집
자매국수,국수,4.38,제주 제주시 항골남길 46 자매국수,이호일동 651-3,064-746-2222,맛집
회가서쪽에서뜨겠네,생선회,4.67,제주 제주시 애월읍 애월로 12 1층,애월리 2454-1,0507-1361-6012,맛집
채정하 흑돼지 접짝뼈국 구좌본점,"육류,고기요리",0.0,제주 제주시 구좌읍 일주동로 3103,평대리 128-1,0507-1306-4399,맛집
동진식당 동문시장점,국수,4.37,제주 제주시 동문로 16 제주 동진식당,일도1동 1148-2,0507-1431-0427,맛집
중문색달통갈치 본점,"해물,생선요리",4.83,제주 서귀포시 일주서로 993,색달동 2088-1,0507-1356-2089,맛집
함덕 연옥,한식,0.0,제주 제주시 조천읍 조함해안로 528 2층 연옥,함덕리 1004-29,010-7151-1527,맛집
뚱딴지 애월본점,한식,4.66,제주 제주시 애월읍 부룡수길 17,신엄리 2814-1,0507-1370-2085,맛집
해송수산물회센타,생선회,0.0,제주 제주시 애월읍 애월로11길 23,애월리 1819-30,0507-1376-1662,맛집
제주오성 갈치조림 제주도 중문 본점,"해물,생선요리",4.67,제주 서귀포시 중문관광로 27 제주오성 갈치조림 제주도 중문 본점,색달동 2507-1,0507-1315-3120,맛집
숙성도 중문점,돼지고기구이,4.43,제주 서귀포시 일주서로 966,색달동 2123,064-739-5213,맛집
함덕흑돼지우돈향 함덕점,"육류,고기요리",4.83,제주 제주시 조천읍 조함해안로 530 2층 우돈향,,064-782-6969,맛집
제주섭지회관,생선회,4.76,제주 서귀포시 성산읍 섭지코지로 62,고성리 206-5,0507-1337-5379,맛집
제주돔베,한식,0.0,제주 제주시 연북로 840,화북이동 3184,0507-1439-3303,맛집
동문시장고기국수 금복식당,국수,4.42,제주 제주시 동문로 16,일도1동 1148-2,064-757-6055,맛집
제주보말칼국수,"칼국수,만두",4.7,제주 제주시 관덕로8길 40,삼도이동 186-5,064-758-8886,맛집
오는정김밥,한식,4.32,제주 서귀포시 동문동로 2,서귀동 254-6,064-762-8927,맛집
덤장 중문점,향토음식,4.31,제주 서귀포시 천제연로 17 덤장 중문점,색달동 2119,0507-1402-2550,맛집
온평바다한그릇,생선회,0.0,제주 서귀포시 성산읍 환해장성로 467,온평리 1192-1,0507-1300-4670,맛집
제주도 해녀세자매,"해물,생선요리",0.0,제주 제주시 한림읍 한림해안로 275 1층 제주도 해녀세자매,수원리 942-1,0507-1488-0083,맛집
칠사돈 애월해안도로본점,"육류,고기요리",0.0,제주 제주시 애월읍 애월해안로 906 1층,하귀2리 2710,064-748-3366,맛집
가람돌솥밥,한식,4.46,제주 서귀포시 중문관광로 332 가람돌솥밥,대포동 747-3,0507-1432-1200,맛집
고집돌우럭 제주공항점,한식,4.71,제주 제주시 임항로 30,건입동 1319-124,0507-1436-1008,맛집
안녕협재씨 제주협재점,비빔밥,4.51,제주 제주시 한림읍 금능길 12 1층,금능리 1740,0507-1347-0624,맛집
고등어회결사,"해물,생선요리",0.0,제주 제주시 애월읍 애월해안로 941 1층,하귀2리 2615-1,0507-1409-5576,맛집
협재수우동 협재점,일식당,4.11,제주 제주시 한림읍 협재1길 11,협재리 1706-1,064-796-5830,맛집
나운터 횟집 서귀포올레시장본점,생선회,4.77,제주 서귀포시 칠십리로 42,서귀동 667-35,0507-1401-2237,맛집
우도해녀식당,"해물,생선요리",0.0,제주 제주시 우도면 우도해안길 440 우도해녀식당,연평리 2308-3,010-9090-3509,맛집
바다를본돼지 서귀포올레시장점,돼지고기구이,4.49,제주 서귀포시 칠십리로 123 2층 바다를본돼지 제주서귀포점,서귀동 42,0507-1413-1058,맛집
가시아방국수,국수,4.34,제주 서귀포시 성산읍 섭지코지로 10,고성리 528-2,064-783-0987,맛집
계절식탁 함덕점,한식,4.77,제주 제주시 조천읍 조함해안로 510 2층,함덕리 1004-41,0507-1432-6577,맛집
한라미담우동,"우동,소바",0.0,제주 제주시 관덕로11길 35 2층,건입동 1401-3,0507-1451-0704,맛집
양대감 노형,돼지고기구이,4.64,"제주 제주시 원노형로 36 101호,102호",노형동 939-4,0507-1427-9593,맛집
산포식당 성산점,향토음식,0.0,제주 서귀포시 성산읍 서성일로 1134,,0507-1360-9217,맛집
곱들락 함덕흑돼지,돼지고기구이,4.55,제주 제주시 조천읍 함덕18길 19 101호,함덕리 951-1,064-783-0992,맛집
피즈 애월,햄버거,4.51,제주 제주시 애월읍 애월로 29 1층 피즈 애월,애월리 2481-3,0507-1348-5148,맛집
돈이랑 본점,돼지고기구이,4.68,제주 서귀포시 일주서로 953,색달동 2182,0507-1415-9277,맛집
도라지식당 제주공항본점,한식,0.0,제주 제주시 연삼로 128 도라지빌딩,오라삼동 2112,0507-1349-3142,맛집
춘미향 제주산방산점,한식,4.48,제주 서귀포시 안덕면 산방로 378,사계리 2820-4,0507-1429-5611,맛집
맛나식당,한식,4.46,제주 서귀포시 성산읍 동류암로 41,고성리 316-9,064-782-4771,맛집
제주에가면,한식,4.49,제주 제주시 탑동로 119 제주에 가면,삼도이동 1158-22,0507-1330-2119,맛집
제주의노을 한림협재점,생선회,0.0,제주 제주시 한림읍 한림해안로 580 제주의노을 한림협재점,귀덕리 4169-4,0507-1332-3508,맛집
고이정 흑돼지 애월본점 보리짚불구이,돼지고기구이,4.61,제주 제주시 애월읍 애월로 6 애월 고이정,,0507-1350-0401,맛집
미향해장국 성산점,미향해장국,0.0,제주 서귀포시 성산읍 일출로 9 1층,고성리 1098-1,064-784-9994,맛집
은희네해장국,해장국,4.37,제주 제주시 고마로13길 8,일도2동 357-4,064-726-5622,맛집
뽈살집 본점,돼지고기구이,4.63,제주 서귀포시 중정로91번길 41 1층,서귀동 278-3,064-763-6860,맛집
협재섬바다,한식,0.0,제주 제주시 한림읍 금능남로 53 협재섬바다,협재리 2765-5,064-796-0053,맛집
바다속고등어쌈밥 제주애월본점,쌈밥,0.0,제주 제주시 애월읍 일주서로 7089 1층,하귀1리 1548,0507-1479-6466,맛집
제주김만복김밥 본점,분식,4.27,제주 제주시 오라로 41,오라삼동 2250-1,064-759-8582,맛집
노라바,라면,0.0,제주 제주시 애월읍 구엄길 100,구엄리 1287-1,0507-1360-1900,맛집
제주협재 바다해찬,"해물,생선요리",4.58,제주 제주시 한림읍 한림로 326,협재리 2514-28,0507-1367-6261,맛집
제주약수터,"맥주,호프",4.63,제주 서귀포시 중앙로 35 1층,서귀동 294-20,0507-1323-6572,맛집
고집돌우럭 제주함덕점,향토음식,4.76,제주 제주시 조천읍 신북로 491-9 2층,함덕리 1020-2,0507-1353-6061,맛집
순옥이네명가,전복요리,4.26,제주 제주시 도공로 8,도두일동 2615-5,064-743-4813,맛집
제주신라호텔 더 파크뷰,뷔페,4.77,제주 서귀포시 중문관광로72번길 75 3층,색달동 3039-3,064-735-5334,맛집
정도 제주애월해안도로본점,돼지고기구이,0.0,"제주 제주시 애월읍 가문동길 53 1, 2층 솔잎훈연흑돼지 정도",하귀2리 2731,0507-1354-1286,맛집
우동카덴,일식당,0.0,제주 제주시 조천읍 교래3길 23,교래리 550-1,0507-1346-6263,맛집
화로위 함덕해수욕장점,"육류,고기요리",4.69,제주 제주시 조천읍 함덕19길 9 1동 1층 화로위,함덕리 960-7,0507-1383-1094,맛집
숙성도 애월점,돼지고기구이,0.0,제주 제주시 애월읍 애월로1길 24-16 1층,애월리 2527-4,0507-1356-4231,맛집
이모밥상,한식,0.0,제주 제주시 연북로 173,연동 456-1,064-744-1733,맛집
협재칼국수,"칼국수,만두",4.47,제주 제주시 한림읍 협재로 3,협재리 1908-2,0507-1335-8107,맛집
둘레길 서귀포중문본점,양식,4.9,제주 서귀포시 천제연로 209-1 2층 둘레길,중문동 2006-3,0507-1379-3255,맛집
동문올레수산 동문시장 본점,"해물,생선요리",4.26,제주 제주시 관덕로14길 10 동문올레수산 동문시장 본점,이도1동 1349-5,064-752-5657,맛집
제주마음,한식,4.56,제주 제주시 원노형3길 15 1층,노형동 914-2,0507-1329-8332,맛집
해녀김밥 본점,김밥,4.32,"제주 제주시 조천읍 함덕로 40 3층, 302호",함덕리 산14-13,0507-1342-3005,맛집
제주순메밀막국수,막국수,4.52,제주 서귀포시 안덕면 녹차분재로 60,서광리 1413-3,064-792-0600,맛집
제주미향 중문본점,"해물,생선요리",4.57,제주 서귀포시 천제연로 99 제주미향 중문본점,색달동 2477,064-738-8588,맛집
88버거,햄버거,4.72,제주 서귀포시 동문로 63,서귀동 255-9,064-733-8488,맛집
춘심이네 본점,"해물,생선요리",0.0,제주 서귀포시 안덕면 창천중앙로24번길 16 1층 춘심이네 본점,창천리 160-3,0507-1420-4018,맛집
문쏘 제주협재점,일식당,0.0,제주 제주시 한림읍 한림상로 15-5 문쏘 제주협재점,옹포리 326-3,0507-1350-7935,맛집
장똘뱅이 오마카세,일식당,4.68,제주 제주시 신광로6길 25 제원아파트 상가 107호,연동 252-1,0507-1391-7989,맛집
숙성도 함덕점,돼지고기구이,0.0,제주 제주시 조천읍 함덕로 40 2층 201호,함덕리 산14-13,064-783-9951,맛집
복자씨연탄구이,돼지고기구이,0.0,제주 서귀포시 성산읍 해맞이해안로 2764,오조리 367-1,064-782-7330,맛집
명진전복,전복요리,4.38,제주 제주시 구좌읍 해맞이해안로 1282,평대리 515-28,064-782-9944,맛집
꽃담수제버거,햄버거,4.49,제주 서귀포시 성산읍 일출로 284-7,성산리 111,0507-1349-0761,맛집
물꼬해녀의집,한식,4.62,제주 제주시 우도면 우도해안길 496,연평리 891,0507-1363-7331,맛집
애월항포구횟집,생선회,4.8,제주 제주시 애월읍 애월로11길 22 2층 애월항포구횟집,애월리 1772-6,0507-1332-4741,맛집
도두해녀의집,생선회,4.16,제주 제주시 도두항길 16,도두일동 2587-4,064-743-4989,맛집
하여금 제주점,돼지고기구이,0.0,제주 제주시 원노형4길 11 1층 하여금,노형동 928-7,0507-1349-4695,맛집
원담,생선회,4.72,제주 제주시 동광로1길 13 1층,이도1동 1260-11,0507-1351-0211,맛집
애월 온기,한식,4.47,제주 제주시 애월읍 애월로 11 갈치맛집 온기,애월리 2467,0507-1479-6026,맛집
제주부엌,국수,0.0,제주 제주시 원노형로 37 2층 제주부엌,노형동 941,0507-1365-5645,맛집
제주 도도리고기국수,국수,0.0,제주 제주시 다호북길 109 1층,도두이동 413-1,0507-1407-5153,맛집
갈치음식점 궁서체 제주탑동본점,한식,0.0,제주 제주시 탑동로11길 6 2층,,0507-1409-1326,맛집
해녀잠수촌,향토음식,0.0,제주 제주시 서해안로 498 1층 해녀잠수촌,,0507-1398-0733,맛집
금돗 성산흑돼지,돼지고기구이,0.0,제주 서귀포시 성산읍 성산등용로 17 금돗 성산흑돼지,성산리 234-16,0507-1402-9798,맛집
이자카야 달,이자카야,4.59,제주 제주시 애월읍 가문동길 27-8 애월해안도로점,,0507-1329-6009,맛집
독개물항 제주한림 협재 본점,"해물,생선요리",4.35,제주 제주시 한림읍 한림로 478,옹포리 593-1,064-796-3966,맛집
뱃도새기 함덕흑돼지 김녕월정리세화구좌점,돼지고기구이,0.0,제주 제주시 조천읍 함와로 7,함덕리 4156-2,0507-1310-8668,맛집
돌집식당,한식,4.5,제주 서귀포시 표선면 서성일로 23 돌집식당,성읍리 1624-3,0507-1324-3720,맛집
용두암 엄마 해장국,한식,4.71,제주 제주시 용마로 24,용담삼동 519-9,0507-1411-5017,맛집
다정이네김밥 서귀포신시가지점,김밥,4.42,제주 서귀포시 이어도로 796,강정동 893-1,064-739-9140,맛집
한라원 제주신화월드점,한식,0.0,제주 서귀포시 안덕면 신화역사로304번길 38,서광리 산24,064-909-2203,맛집
자리돔횟집,생선회,4.61,제주 서귀포시 동홍동로 7 자리돔횟집,동홍동 473-2,064-733-1239,맛집
오만정성 제주협재점,"해물,생선요리",4.8,제주 제주시 한림읍 일주서로 5083 1층 오만정성 제주협재점,협재리 1087,0507-1328-5083,맛집
바다를본돼지 제주협재판포점,돼지고기구이,4.5,제주 제주시 한경면 판포1길 16 1층 바다를본돼지 제주협재판포점,판포리 2881-4,0507-1385-5536,맛집
별돈별 협재해변점,돼지고기구이,0.0,제주 제주시 한림읍 협재1길 4 2층,협재리 1725-1,0507-1360-5895,맛집
돝밭 애월고내 본점,돼지고기구이,0.0,제주 제주시 애월읍 애월해안로 249 1F 돝밭,고내리 1109-1,0507-1375-1255,맛집
고은물식당,한식,4.8,제주 서귀포시 안덕면 화순해안로 110 고은물식당,화순리 645-1,0507-1428-5656,맛집
떠돌이식객,라면,0.0,제주 서귀포시 성산읍 신고로22번길 37,고성리 212-6,0507-1426-0508,맛집
꽃가람 제주성산일출봉점,국수,4.51,제주 서귀포시 성산읍 고성동서로 73 1층 꽃가람 제주성산일출봉점,고성리 306-1,0507-1446-3940,맛집
애월 우니담,"백반,가정식",4.29,제주 제주시 애월읍 고내로13길 107 2층,고내리 350,0507-1361-5433,맛집
함덕고등어쌈밥,쌈밥,0.0,제주 제주시 조천읍 조함해안로 530 3층,함덕리 1004-30,0507-1324-2736,맛집
곰막식당,한식,4.46,제주 제주시 구좌읍 구좌해안로 64,동복리 667-1,064-727-5111,맛집
지지지제주흑돼지,돼지고기구이,4.6,제주 제주시 신대로 104 1층,연동 302-3,0507-1401-7222,맛집
제주도 고기국수 만세국수,국수,4.57,제주 제주시 연삼로 437,,064-727-7056,맛집
화고 흑돼지 신시가지점,돼지고기구이,4.77,제주 서귀포시 신서로32번길 20 1층,강정동 167-6,0507-1358-6124,맛집
국수바다 본점,국수,0.0,제주 서귀포시 일주서로 580,대포동 630,064-739-9255,맛집
가로수길마루 애월해안도로점,이자카야,4.74,제주 제주시 애월읍 애월로 11 가로수길마루 애월해안도로점,애월리 2467,0507-1385-2929,맛집
아늑 월정리함덕점,"육류,고기요리",0.0,제주 제주시 구좌읍 해맞이해안로 470 1층,월정리 5-1,0507-1446-2264,맛집
제주돔베고기집,"육류,고기요리",4.48,제주 제주시 월랑로4길 6,노형동 1279-1,064-713-9949,맛집
제주 정직한돈 애월점,돼지고기구이,4.67,제주 제주시 애월읍 애월해안로 253 1층,고내리 1105-8,0507-1322-5027,맛집
소금바치 순이네,"해물,생선요리",4.5,제주 제주시 구좌읍 해맞이해안로 2196,종달리 42-5,064-784-1230,맛집
제주곶 서귀포 해물라면,라면,0.0,제주 서귀포시 칠십리로214번길 36 제주곶 서귀포 해물라면,동홍동 280-3,0507-1347-0736,맛집
전망좋은횟집&흑돼지 성산본점,생선회,4.7,제주 서귀포시 성산읍 일출로 248 전망좋은횟집&흑돼지 성산본점,성산리 399-73,0507-1364-1568,맛집
해오반,한식,4.53,제주 제주시 애월읍 고내로9길 1 1층,고내리 598-1,0507-1495-1286,맛집
제주순풍해장국 본점,한식,4.69,제주 제주시 진군남4길 7-8,노형동 668,064-748-9944,맛집
제주김만복 애월점,분식,0.0,제주 제주시 애월읍 애월해안로 255,고내리 1105-1,064-748-9989,맛집
장인의집[본점],"칼국수,만두",0.0,제주 제주시 애월읍 애월로19길 31 장인의집 애월 본점,애월리 399-1,0507-1313-1610,맛집
성산을본갈치조림구이 제주성산일출봉점,"해물,생선요리",4.47,제주 서귀포시 성산읍 성산중앙로64번길 5-4 2층,성산리 296-3,0507-1338-4295,맛집
옥만이네 제주금능협재점,"해물,생선요리",4.46,제주 제주시 한림읍 한림해안로 160 1층,한림리 1314-29,0507-1411-0736,맛집
늘봄흑돼지,돼지고기구이,0.0,제주 제주시 한라대학로 12,노형동 2343-3,064-744-9001,맛집
둘레길 제주협재금능점,양식,0.0,제주 제주시 한림읍 금능길 79 1층,금능리 1420,0507-1310-1641,맛집
고씨네천지국수 올레시장본점,국수,4.66,제주 서귀포시 중앙로79번길 4 고씨네천지국수,서귀동 298-1,0507-1318-0436,맛집
옹포횟집 제주한림협재본점,생선회,0.0,제주 제주시 한림읍 옹포2길 10,협재리 1398,0507-1417-1323,맛집
한라산아래첫마을영농조합법인,한식,4.54,제주 서귀포시 안덕면 산록남로 675,광평리 211,064-792-8259,맛집
제주 코시롱,한식,4.74,제주 제주시 애월읍 애월해안로 656 제주 유니호텔 1층,구엄리 1216,0507-1360-5051,맛집
제주로운청해원 성산일출봉점,"해물,생선요리",4.55,제주 서귀포시 성산읍 신양로 101,고성리 212-13,064-782-7008,맛집
하갈비국수,국수,4.35,제주 제주시 애월읍 애월북서길 54,애월리 2550,0507-1390-2724,맛집
산지물,생선회,4.33,제주 제주시 임항로 26,건입동 1388-1,064-752-5599,맛집
성산일출봉 어멍횟집,생선회,0.0,제주 서귀포시 성산읍 일출로 29 성산일출봉 어멍횟집,고성리 330-1,0507-1418-1177,맛집
신화돌담집 제주신화월드점,돼지고기구이,0.0,제주 서귀포시 안덕면 신화역사로304번길 98,서광리 산35-16,0507-1380-2117,맛집
어박사 한림본점,"해물,생선요리",0.0,제주 제주시 한림읍 한림로 564,동명리 1715,064-796-0018,맛집
서귀포목마,"육류,고기요리",0.0,제주 서귀포시 서문로29번길 30,서귀동 319-9,0507-1352-1804,맛집
소섬전복,전복요리,4.6,제주 제주시 우도면 우도해안길 1158,연평리 329,064-782-0062,맛집
소렉,양식,4.65,제주 제주시 은남2길 41 1층,연동 272-37,0507-1407-9015,맛집
한림칼국수 제주본점,"칼국수,만두",4.49,제주 제주시 한림읍 한림해안로 139,한림리 1328-15,070-8900-3339,맛집
갈치옥 함덕,한식,4.49,제주 제주시 조천읍 조함해안로 530 2층 2호,함덕리 1004-30,0507-1481-6014,맛집
삼대국수회관 본점,국수,4.22,제주 제주시 삼성로 41,일도2동 1045-12,064-759-6645,맛집
운치 협재갈치조림구이 본점,"해물,생선요리",0.0,제주 제주시 한림읍 한림로 358,협재리 1738,0507-1372-7208,맛집
무거버거,햄버거,4.43,제주 제주시 조천읍 조함해안로 356 무거버거,신흥리 15,0507-1319-5076,맛집
중문고등어쌈밥,한식,0.0,제주 서귀포시 일주서로 1240 1층,상예동 3706,0507-1361-2457,맛집
늘소담,국수,4.58,제주 제주시 탑동로 31 . 3호,삼도이동 1192-12,0507-1355-1325,맛집
제주시새우리,"도시락,컵밥",4.42,제주 제주시 무근성7길 24 제주시 새우리,삼도이동 1053-22,064-900-2527,맛집
표선칼국수,"칼국수,만두",4.26,제주 서귀포시 표선면 민속해안로 578-3 표선칼국수,표선리 40-52,0507-1338-5945,맛집
삼미흑돼지 중문점,돼지고기구이,4.46,제주 서귀포시 색달중앙로 33,,064-739-9392,맛집
꽃길본가 고기해물짬뽕,국수,0.0,제주 제주시 서해안로 648 꽃길본가,용담삼동 516-2,064-711-5730,맛집
동문시장 우리수산,생선회,4.27,제주 제주시 동문로2길 10 1층,일도1동 1480-3,064-758-4282,맛집
산도롱맨도롱 제주공항점,한식,0.0,제주 제주시 용담로 16 2층,용담이동 935-22,064-803-0306,맛집
리보스코화덕피자,피자,4.74,제주 제주시 수목원길 27 리보스코화덕피자 연동점,연동 1315,0507-1448-0906,맛집
바다를본돼지 제주공항점,돼지고기구이,4.41,제주 제주시 정존15길 42 1층 바다를본돼지 제주공항점,노형동 1055-4,0507-1409-9242,맛집
다정이네 올레시장 본점,김밥,4.32,제주 서귀포시 동문로 59-1,서귀동 255-7,070-8900-8070,맛집
공천포식당,"해물,생선요리",4.45,제주 서귀포시 남원읍 공천포로 89 공천포식당,신례리 27-5,064-767-2425,맛집
만선식당,생선회,4.41,제주 서귀포시 대정읍 하모항구로 44 만선식당,하모리 770-50,0507-1315-6301,맛집
착한집,한정식,4.3,제주 제주시 서광로 98,오라삼동 2337-12,064-713-7136,맛집
후프바베큐,양식,0.0,제주 제주시 애월읍 애월북서길 69,애월리 2519-7,0507-1372-9655,맛집
모루쿠다 서귀포올레시장점,생선회,4.84,제주 서귀포시 태평로431번길 32 1층 모루쿠다 서귀포올레시장점,서귀동 204-2,0507-1364-1477,맛집
중문생선구이,생선구이,4.7,제주 서귀포시 중문관광로 323 1층 중문생선구이,중문동 2446-1,0507-1360-1474,맛집
돈파스타정원,"스파게티,파스타전문",4.27,제주 제주시 애월읍 애월해안로 364,고내리 344-2,064-799-3336,맛집
월정리갈비밥,돼지고기구이,4.43,제주 제주시 구좌읍 월정7길 46,월정리 8-1,0507-1406-0430,맛집
노도 고등어회,생선회,0.0,제주 제주시 서해안로 364 1층,도두이동 681-1,0507-1330-6087,맛집
카페텐저린,브런치,4.63,제주 서귀포시 이어도로 880,법환동 1298-3,0507-1377-9767,맛집
해녀촌,국수,4.34,제주 제주시 구좌읍 동복로 33,동복리 1502-1,064-783-5438,맛집
서유기마라탕&훠궈,중식당,4.41,제주 서귀포시 안덕면 신화역사로304번길 38 F005동 1층,서광리 산24,0507-1448-5688,맛집
제주 흑돼지 작산 애월 해안도로 본점,돼지고기구이,0.0,제주 제주시 애월읍 가문동길 4 2층,하귀2리 2594-1,0507-1381-9449,맛집
월정리 달이뜨는식탁,양식,4.62,제주 제주시 구좌읍 월정1길 14 1층,월정리 885,0507-1330-8538,맛집
제주옥 중문 본점,"해물,생선요리",0.0,제주 서귀포시 중문관광로 7 제주옥 중문 본점 1층,,0507-1311-8061,맛집
신해바라기,한식,4.36,제주 제주시 관덕로13길 13,일도1동 1342-4,064-757-3277,맛집
제주산방산나들목,한식,4.73,제주 서귀포시 안덕면 사계남로 189,사계리 2032,0507-1345-2363,맛집
명호마농갈비 중문점,소고기구이,4.41,제주 서귀포시 중문관광로 289 명호마농갈비,대포동 1696,0507-1415-8985,맛집
애월 삼육공본점 숙성흑돼지,"육류,고기요리",0.0,제주 제주시 애월읍 중엄3길 50 1층,신엄리 920,0507-1322-6580,맛집
용두네해장국,해장국,0.0,제주 제주시 서해안로 456-4,용담삼동 2384,0507-1482-0932,맛집
제주 애월회관 흑돼지 애월곽지해안도로점,돼지고기구이,0.0,제주 제주시 애월읍 애월로 38 1층,애월리 2162-1,0507-1378-0038,맛집
해월정,"해물,생선요리",4.22,제주 제주시 구좌읍 해맞이해안로 2340,종달리 608,064-782-5664,맛집
야해,일식당,4.84,제주 제주시 노형11길 6 1층 야해,노형동 3780-3,0507-1462-7886,맛집
몬스터살롱 애월,햄버거,4.48,제주 제주시 애월읍 일주서로 6017 몬스터살롱,곽지리 1669-1,0507-1414-5310,맛집
태하횟집 제주공항점,생선회,4.41,제주 제주시 동한두기길 31-2,용담일동 409,0507-1424-5530,맛집
