이름,유형,도로명주소,지번주소,전화번호,홈페이지,테마
자파리하우스,게스트하우스,제주특별자치도 제주시 애월읍 하소로 769-58,애월읍 유수암리 1306-1,010-2631-7914,https://www.facebook.com/zaparihouse/,숙소
몬딱게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 세화서길 7-31,구좌읍 세화리 1164-1,010-8599-3698,http://blog.naver.com/ssiren4,숙소
제주도 소규모게스트하우스,게스트하우스,제주특별자치도 서귀포시 안덕면 난드르로21번길 7-1 1층,안덕면 창천리 810,010-5950-3924,https://www.instagram.com/smallscalegh/,숙소
임진고택,게스트하우스,제주특별자치도 제주시 구좌읍 상도로 16-13,구좌읍 상도리 611,010-7101-7985,https://www.instagram.com/imjingotaek/,숙소
한그루게스트하우스,게스트하우스,제주특별자치도 제주시 한경면 주전길 92-54,한경면 용수리 3781,010-4009-6046,http://cafe.naver.com/jejuhangru,숙소
호박게스트하우스,게스트하우스,제주특별자치도 제주시 한림읍 금능길 20-6,한림읍 금능리 1768,010-2335-7968,http://blog.naver.com/masul,숙소
피어오름 스테이더몽 1호점,게스트하우스,제주특별자치도 서귀포시 안덕면 산방로 358,안덕면 사계리 1764-1,,https://blog.naver.com/themonginterior,숙소
하마다게스트하우스,게스트하우스,제주특별자치도 서귀포시 남원읍 일주동로 6863,남원읍 태흥리 582-1,064-764-5821,http://blog.naver.com/hamadajeju,숙소
지리쌤게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 오조로70번길 28,성산읍 오조리 232-1,,,숙소
몽중인,게스트하우스,제주특별자치도 제주시 중앙로4길 6,삼도이동 12-21,,,숙소
고궁펜션형게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 성산중앙로 54,성산읍 성산리 228-10,064-782-7199,http://xn--299azlg98bzoa.com/,숙소
프리폴링,게스트하우스,제주특별자치도 서귀포시 남원읍 태수로 79-48,남원읍 태흥리 1396-19,010-4458-5602,http://freefalling.kr/,숙소
우리두리게스트하우스,게스트하우스,제주특별자치도 서귀포시 표선면 민속해안로119번길 10-1,표선면 표선리 2390-2,010-2616-1822,http://wooridoorihoues.modoo.at/,숙소
명월일공육스테이,게스트하우스,제주특별자치도 제주시 한림읍 명월로 106 명월 일공육 스테이,한림읍 명월리 1617-4,010-4857-8325,,숙소
그리고세화 1호점,게스트하우스,제주특별자치도 제주시 구좌읍 구좌로 149-9,구좌읍 하도리 3359-61,,http://blog.naver.com/satyr334,숙소
달자게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 월정7길 43-2,구좌읍 월정리 66,010-9916-0485,https://www.instagram.com/daljaguesthouse,숙소
협재 마당게스트하우스,게스트하우스,제주특별자치도 제주시 한림읍 협재로 8,한림읍 협재리 1847,,http://blog.naver.com/gogojuha,숙소
하쿠나마타타,게스트하우스,제주특별자치도 제주시 애월읍 고내북동길 17,애월읍 고내리 570-5,,http://cafe.daum.net/hakunajeju,숙소
세화리움게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 해녀박물관길 29,구좌읍 세화리 1-26,010-9530-4049,http://blog.naver.com/mia1894,숙소
버베나하우스,게스트하우스,제주특별자치도 제주시 도두항서5길 17,도두일동 2622-9,,https://jejuverbena.modoo.at/,숙소
써니허니게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 중산간동로 2234,구좌읍 송당리 1359-1,010-9996-6640,http://blog.naver.com/sunny-hunny,숙소
도토리게스트하우스,게스트하우스,제주특별자치도 서귀포시 남원읍 신흥고수로 9-1,남원읍 신흥리 632-1,,,숙소
라쿤하우스,게스트하우스,제주특별자치도 제주시 구좌읍 김녕로17길 22-10,구좌읍 김녕리 1265-7,,http://blog.naver.com/poem901,숙소
버스정류장 게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 삼달신풍로 109,성산읍 삼달리 1233-2,070-4405-8382,http://www.busstop.so/,숙소
두나게스트하우스,게스트하우스,제주특별자치도 서귀포시 보목로 47-3,보목동 621,070-4312-6211,http://doonadivers.com/,숙소
비젠빌리지,게스트하우스,제주특별자치도 제주시 구좌읍 하도9길 72,구좌읍 하도리 907,064-784-8216,,숙소
평대모살코지,게스트하우스,제주특별자치도 제주시 구좌읍 평대7길 39-2,구좌읍 평대리 601-1,,http://blog.naver.com/uhahaha0212,숙소
스르르르,게스트하우스,제주특별자치도 제주시 구좌읍 평대5길 48-15,구좌읍 평대리 2021,,https://instagram.com/srrr_jeju,숙소
함덕조용한게스트하우스,게스트하우스,제주특별자치도 제주시 조천읍 함덕14길 28-2 1층,조천읍 함덕리 1386,010-4332-5794,,숙소
우니스테이,게스트하우스,제주특별자치도 제주시 조천읍 신흥로2길 36,조천읍 신흥리 58-1,,https://www.instagram.com/woonystay/,숙소
달휴게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 온평애향로23번길 25,성산읍 온평리 829-1,070-8875-1641,https://blog.naver.com/dbswjdgmdwo,숙소
하버하우스웨스트,게스트하우스,제주특별자치도 제주시 애월읍 고내로7길 37-1,애월읍 고내리 1190,,,숙소
하늘게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 난산로41번길 50-12 2층,성산읍 난산리 1400,010-9969-2666,https://blog.naver.com/yes330077,숙소
볼몽지엥하우스,게스트하우스,제주특별자치도 서귀포시 보목포로1번길 10,보목동 482,010-4587-5535,https://www.instagram.com/jeju_bolmongsian/,숙소
탱자싸롱 게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 세화11길 12,구좌읍 세화리 22,,http://blog.naver.com/junoji,숙소
캡틴제주게스트하우스,게스트하우스,제주특별자치도 제주시 조천읍 신촌3길 37,조천읍 신촌리 2250-1,010-6798-7640,http://captainjeju.modoo.at/,숙소
오세화,게스트하우스,제주특별자치도 제주시 구좌읍 세송로 8-11,구좌읍 세화리 887,010-8892-0146,https://www.instagram.com/oh_sewha/,숙소
함덕아지트게스트하우스,게스트하우스,제주특별자치도 제주시 조천읍 신북로 643,조천읍 함덕리 261-10,,http://0ha95.modoo.at/,숙소
올리브네,게스트하우스,제주특별자치도 제주시 한경면 용당1길 7,한경면 용수리 1124,010-5115-2396,https://www.instagram.com/olivenestay/,숙소
메이드인월정리게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 일주동로 2393-64 A동,구좌읍 월정리 856,010-2129-9555,,숙소
우리희망이게스트하우스,게스트하우스,제주특별자치도 제주시 조천읍 신흥관전길 60-1,조천읍 신흥리 487,010-8215-5836,"https://map.naver.com/v5/entry/place/37546837?lng=126.6494463&lat=33.5461491&placePath=%2Fhome&entry=plt&c=15,0,0,0,dh",숙소
봄봄스테이,게스트하우스,제주특별자치도 제주시 애월읍 상귀장수물길 58-55,애월읍 유수암리 2151-6,,,숙소
소소게스트하우스,게스트하우스,제주특별자치도 제주시 애월읍 소길남길 190-18,애월읍 상가리 56-1,010-4692-4408,http://jejusoso.com/,숙소
송당온도,게스트하우스,제주특별자치도 제주시 구좌읍 송당서3길 13,구좌읍 송당리 1888,,,숙소
포비네오두막 게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 행원로4길 26,구좌읍 행원리 1261-1,010-4141-8636,http://odumak.modoo.at/,숙소
조이다이브리조트,게스트하우스,제주특별자치도 서귀포시 중산간동로 8383,서호동 728,010-4412-3010,http://blog.naver.com/jejujoydive/,숙소
제주동쪽,게스트하우스,제주특별자치도 서귀포시 성산읍 섭지코지로 54,성산읍 고성리 207-1,010-2614-2015,,숙소
연동게스트하우스,게스트하우스,제주특별자치도 제주시 국기중길 14 2층,연동 1503,010-2366-0770,https://blog.naver.com/ydgh82,숙소
싹게스트하우스,게스트하우스,제주특별자치도 제주시 테우해안로 172,이호일동 1699-1,010-2833-8477,,숙소
이레하우스,게스트하우스,제주특별자치도 제주시 신설동길 45-9,이도2동 52,,,숙소
스테이어라이브,게스트하우스,제주특별자치도 제주시 애월읍 어림비로 229,애월읍 어음리 3556-4,,http://blog.naver.com/stay_alive_jeju,숙소
해비치게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 한도로 213,성산읍 성산리 334-2,064-784-0864,https://cafe.naver.com/jejusungsan,숙소
바당다레,게스트하우스,제주특별자치도 제주시 한림읍 한림로 322,한림읍 협재리 2508,,http://blog.naver.com/soonsim11,숙소
개스트하우스말,게스트하우스,제주특별자치도 서귀포시 안덕면 화순중앙로 93,안덕면 화순리 365-3,010-3158-9397,https://www.instagram.com/mal_g.h/,숙소
스테이온룸,게스트하우스,제주특별자치도 제주시 한림읍 명월성로 137-19,한림읍 동명리 2209-1,0507-1402-1025,https://www.instagram.com/stay_own.room_,숙소
추자올레 게스트하우스,게스트하우스,제주특별자치도 제주시 추자면 대서2길 23,추자면 대서리 10-10,010-4057-3650,http://cafe.daum.net/chujaolle,숙소
토마스하우스,게스트하우스,제주특별자치도 서귀포시 안덕면 평화로 654,안덕면 서광리 456,,http://blog.naver.com/jleaveky/,숙소
바언제주게스트하우스,게스트하우스,제주특별자치도 제주시 한경면 녹차분재로 827-53,한경면 청수리 1902,070-8900-8859,https://cafe.naver.com/baunjeju,숙소
꿀잠자리 게스트하우스,게스트하우스,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 14,대정읍 하모리 2128-4,070-8881-1400,http://honeydragonfly.modoo.at/,숙소
굿나잇플리즈,게스트하우스,제주특별자치도 제주시 구좌읍 계룡길 45-2,구좌읍 한동리 1287-2,,https://blog.naver.com/plz_jeju,숙소
굿나잇&굿럭,게스트하우스,제주특별자치도 제주시 애월읍 애월로9길 60 1동,애월읍 애월리 1820-1,010-6287-0676,https://www.instagram.com/goodnight.luck,숙소
꼬르동게스트하우스,게스트하우스,제주특별자치도 제주시 조천읍 함덕29길 25-4,조천읍 함덕리 271-5,010-5307-1511,,숙소
제주공항게스트하우스 웨이브사운드,게스트하우스,제주특별자치도 제주시 관덕로8길 24,삼도이동 146-4,,https://blog.naver.com/kai_33/,숙소
게으른날,게스트하우스,제주특별자치도 서귀포시 대정읍 무릉중앙로21번길 30,대정읍 무릉리 3195-5,,http://www.instagram.com/jeju_lazy_day,숙소
수네민박,게스트하우스,제주특별자치도 서귀포시 남원읍 태위로360번길 204,남원읍 위미리 816-1,010-9800-0569,https://www.instagram.com/homeofsoo/,숙소
게스트하우스에버,게스트하우스,제주특별자치도 서귀포시 성산읍 한도로 67,성산읍 오조리 351-1,010-6695-0097,http://www.xn--o79aw61ansea471bmpb849bvze.com/,숙소
사계화,게스트하우스,제주특별자치도 서귀포시 안덕면 사계중앙로 5,안덕면 사계리 2252-3,010-9636-1678,https://instagram.com/4gye_wha,숙소
어음분교1963 게스트하우스,게스트하우스,제주특별자치도 제주시 애월읍 어림비로 376,애월읍 어음리 2922,,https://www.instagram.com/eoeum_1963,숙소
비안,게스트하우스,제주특별자치도 제주시 조천읍 중산간동로 1197-16,조천읍 선흘리 2841-3,064-782-6982,http://www.jejubahn.co.kr/,숙소
봉자게스트하우스,게스트하우스,제주특별자치도 제주시 우도면 영일길 156-32,우도면 연평리 235,,https://www.instagram.com/bongja1991,숙소
베짱이게스트하우스,게스트하우스,제주특별자치도 서귀포시 대정읍 노을해안로 24,대정읍 일과리 1424-1,,,숙소
다랑들락,게스트하우스,제주특별자치도 제주시 구좌읍 종달로3길 33-17,구좌읍 종달리 986,,https://m.blog.naver.com/jejudarang,숙소
달작,게스트하우스,제주특별자치도 제주시 애월읍 애월원당길 42-22,애월읍 애월리 1326,,http://blog.naver.com/insha666,숙소
문어오빠제주게스트하우스,게스트하우스,제주특별자치도 제주시 한림읍 한림로 372-15,한림읍 협재리 1860,,,숙소
하버하우스,게스트하우스,제주특별자치도 제주시 조천읍 신촌5길 58-1,조천읍 신촌리 2029-1,,,숙소
엉알스테이,게스트하우스,제주특별자치도 제주시 한경면 고조로 24,한경면 고산리 2162-12,,http://blog.naver.com/hana78381,숙소
제주의추억,게스트하우스,제주특별자치도 제주시 구좌읍 상도로 9-1,구좌읍 상도리 659,010-5698-2612,https://blog.naver.com/sonoko63,숙소
슬로우도,게스트하우스,제주특별자치도 제주시 우도면 천진길 57,우도면 연평리 1846-2,010-5865-9151,https://www.instagram.com/slowudo,숙소
와썹비치하우스,게스트하우스,제주특별자치도 제주시 애월읍 곽지1길 30,애월읍 곽지리 1581-7,010-8139-4929,http://wasupjeju.com/,숙소
게스트하우스샬레,게스트하우스,제주특별자치도 서귀포시 대포로 132,대포동 1925-2,,https://cafe.naver.com/ghchalet/,숙소
어린왕자게스트하우스,게스트하우스,제주특별자치도 서귀포시 대정읍 추사로36번길 45-6,대정읍 안성리 1701-1,010-3393-3132,,숙소
쿠주소셜하우스,게스트하우스,제주특별자치도 제주시 월랑로6길 36 2~4층,노형동 1271-5,,https://www.instagram.com/cuju.socialhouse_jeju,숙소
차오제주,게스트하우스,제주특별자치도 제주시 한림읍 협재2길 6-3,한림읍 협재리 2494-3,,https://tchaojeju.modoo.at/,숙소
제주각시 이우다,게스트하우스,제주특별자치도 제주시 한경면 중산간서로 3592 1층,한경면 저지리 1519-7,010-5798-5066,,숙소
메인그라운드 인 제주,게스트하우스,제주특별자치도 제주시 조천읍 북촌북길 44,조천읍 북촌리 1334,0507-1448-4979,http://maneground.com/,숙소
마메종,게스트하우스,제주특별자치도 제주시 구좌읍 한평길 49-2,구좌읍 평대리 2031-1,,http://blog.naver.com/mamaison2012,숙소
타오하우스,게스트하우스,제주특별자치도 제주시 도두봉6길 9-1,도두일동 1700-8,,,숙소
조이핑블하우스,게스트하우스,제주특별자치도 제주시 구좌읍 비자림로동1길 60-25,구좌읍 한동리 469-5,010-2970-3467,http://blog.naver.com/hweelang63,숙소
소셜오로제주게스트하우스,게스트하우스,제주특별자치도 서귀포시 남원읍 태위로398번길 52-5,남원읍 위미리 76-1,,,숙소
늘푸른게스트하우스,게스트하우스,제주특별자치도 서귀포시 대정읍 하모백사로 29,대정읍 하모리 540-1,064-900-7890,https://blog.naver.com/leech203,숙소
우리하우스,게스트하우스,제주특별자치도 제주시 별도봉길 7,화북일동 4595-2,064-755-2141,,숙소
너나들이모다들엉 우리집사이시옷,게스트하우스,제주특별자치도 제주시 한림읍 한림로 829-1,한림읍 수원리 29-6,010-2710-3274,http://www.facebook.com/betweenjeju,숙소
맬록게스트하우스,게스트하우스,제주특별자치도 제주시 진서로 58-3,화북일동 4086-4,010-5579-7017,http://malloch.modoo.at/,숙소
함덕하늘정원게스트하우스,게스트하우스,제주특별자치도 제주시 조천읍 함덕20길 33-1,조천읍 함덕리 926-3,010-5526-8252,https://cafe.naver.com/skyparkguesthouse,숙소
몰디브하우스 제주게스트하우스,게스트하우스,제주특별자치도 제주시 조천읍 함덕8길 3,조천읍 함덕리 1049-1,010-6630-3200,http://01032830920.tshome.co.kr/,숙소
제주도소규모게스트하우스 대정점,게스트하우스,제주특별자치도 서귀포시 대정읍 무릉중앙로 43-11 1층,대정읍 무릉리 3152-2,010-5800-3924,,숙소
단빌리지 게스트하우스,게스트하우스,제주특별자치도 제주시 한경면 고락로 100,한경면 고산리 1578-2,010-3795-7354,http://danvillage.tistory.com/,숙소
솔로게스트하우스 송악점,게스트하우스,제주특별자치도 서귀포시 대정읍 송악관광로411번길 11,대정읍 상모리 88-1,010-8247-0210,https://www.instagram.com/taewuni/,숙소
스테이스며들다,게스트하우스,제주특별자치도 제주시 한경면 용수2길 24-4,한경면 용수리 4318,010-9379-7808,https://www.instagram.com/alicia_in_jeju,숙소
민트게스트하우스,게스트하우스,제주특별자치도 제주시 서광로5길 2-4,용담일동 2829-6,064-721-0106,,숙소
노스컨츄리,게스트하우스,제주특별자치도 제주시 조천읍 북촌12길 1,조천읍 북촌리 686-4,,https://www.instagram.com/northcountry_jeju/,숙소
동동게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 종달로1길 91-24,구좌읍 종달리 514,064-782-5551,https://dongdongguesthouse.modoo.at/,숙소
제주와서,게스트하우스,제주특별자치도 제주시 한경면 용당2길 17,한경면 용수리 1113,010-5235-5561,https://www.instagram.com/jejuwaseo/,숙소
맘스하우스,게스트하우스,제주특별자치도 제주시 구좌읍 평대11길 4,구좌읍 평대리 110-1,,http://blog.naver.com/js_mc,숙소
가라지하우스,게스트하우스,제주특별자치도 서귀포시 안덕면 산방로388번길 2,안덕면 사계리 2816-1,,http://garagehouse.kr/,숙소
감성별당,게스트하우스,제주특별자치도 서귀포시 대정읍 서림중앙로 31,대정읍 일과리 1505-1,,,숙소
쉘터애월게스트하우스,게스트하우스,제주특별자치도 제주시 애월읍 애월로7길 8-5,애월읍 애월리 1703,010-3003-6348,https://www.facebook.com/shelterinjeju,숙소
별빛옥상게스트하우스,게스트하우스,제주특별자치도 서귀포시 남성로 140,서홍동 644-9,,http://blog.naver.com/dreamrooftop,숙소
율게스트하우스,게스트하우스,제주특별자치도 서귀포시 최영로 18,법환동 168,,https://cafe.naver.com/jejuyul,숙소
공사바게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 평대7길 33,구좌읍 평대리 678-8,,http://blog.naver.com/oneone92,숙소
일마레가든앤스테이,게스트하우스,제주특별자치도 제주시 한경면 고조로 105,한경면 고산리 1449-2,1566-7138,http://ilmaregns.co.kr/,숙소
제주도게스트하우스파티유로민박,게스트하우스,제주특별자치도 서귀포시 표선면 돈오름로 16,표선면 세화리 1068,0507-1336-6990,https://www.instagram.com/euro_guesthouse,숙소
준용게스트하우스,게스트하우스,제주특별자치도 제주시 애월읍 애월로18길 11,애월읍 애월리 528,,,숙소
제주비전하우스,게스트하우스,제주특별자치도 제주시 중앙로5길 3,일도일동 1277-25,064-756-5772,,숙소
쉬멍게스트하우스,게스트하우스,제주특별자치도 제주시 애월읍 중구엄길 62 2동,애월읍 구엄리 1203,,http://blog.naver.com/yw0629,숙소
스테이하루,게스트하우스,제주특별자치도 제주시 구좌읍 상하도길 46-24,구좌읍 상도리 557,010-8661-0009,https://stayharu.modoo.at/,숙소
이왁게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 월정중길 19-13,구좌읍 월정리 735,010-5286-6703,https://ewak.modoo.at/,숙소
게으른하루,게스트하우스,제주특별자치도 제주시 구좌읍 한동북1길 54-5,구좌읍 한동리 1354-1,,,숙소
블루포니게스트하우스,게스트하우스,제주특별자치도 서귀포시 동상효로68번길 79,신효동 489-1,010-8606-7716,http://blog.naver.com/bluepony_visitor,숙소
평대베를린게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 평대2길 39-37,구좌읍 평대리 1958-3,010-9030-5055,https://blog.naver.com/ral2020,숙소
이야기별방게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 해맞이해안로 2040,구좌읍 종달리 1407,010-3615-3766,https://blog.naver.com/limcuhllive,숙소
베이스캠프게스트하우스,게스트하우스,제주특별자치도 서귀포시 법환상로2번길 89,법환동 722-2,010-3240-2744,http://cafe.naver.com/campguesthouse,숙소
하우목길52 렌트하우스,게스트하우스,제주특별자치도 제주시 우도면 하우목길 52,우도면 연평리 2311-1,0507-1384-2242,,숙소
에피소드카페 게스트하우스,게스트하우스,제주특별자치도 제주시 애월읍 하귀동남1길 19,애월읍 하귀1리 189-10,064-748-2901,,숙소
오후게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 일주동로 5379 2동,성산읍 신풍리 37,010-5787-1337,https://www.instagram.com/o.hoo_guest_house,숙소
보스톤2081,게스트하우스,제주특별자치도 제주시 한경면 낙수로 275,한경면 청수리 2081-1,,http://blog.naver.com/saintk99,숙소
생각의오름,게스트하우스,제주특별자치도 제주시 구좌읍 송당2길 7-1,구좌읍 송당리 1530-12,070-8860-7504,https://blog.naver.com/jejusalon/221311957792,숙소
올레벗 게스트하우스,게스트하우스,제주특별자치도 서귀포시 안덕면 소기왓로 11,안덕면 창천리 773,010-3870-4629,http://blog.naver.com/olle-friends,숙소
안브런치힐링하우스,게스트하우스,제주특별자치도 제주시 도두항서길 42,도두일동 2613-1,,http://jejurang.fortour.kr/,숙소
지니코티지 게스트하우스,게스트하우스,제주특별자치도 제주시 한경면 수동1길 15,한경면 저지리 1189-1,010-3142-7282,http://cafe.daum.net/busyfrog,숙소
그날의하도,게스트하우스,제주특별자치도 제주시 구좌읍 문주란로5길 18,구좌읍 하도리 1574-1,,https://www.instagram.com/of_the_day__hado/,숙소
꿈in게스트하우스,게스트하우스,제주특별자치도 서귀포시 말질로170번길 4-1,강정동 4437-1,,,숙소
시바게스트하우스,게스트하우스,제주특별자치도 제주시 조천읍 신흥로1길 62-10,조천읍 신흥리 547,010-5341-1713,http://www.facebook.com/SeaBarGuesthouse,숙소
홀섬하우스,게스트하우스,제주특별자치도 제주시 애월읍 평화로 2289-17,애월읍 유수암리 1066,,http://www.hollsom.com/,숙소
제주코기네,게스트하우스,제주특별자치도 제주시 조천읍 조함해안로 76-34,조천읍 조천리 2964-3,,http://blog.naver.com/jnloveys,숙소
제주소호네,게스트하우스,제주특별자치도 서귀포시 대포복개로 52,대포동 1485,,,숙소
하도조아,게스트하우스,제주특별자치도 제주시 구좌읍 하도7길 20-7,구좌읍 하도리 1360,064-784-9108,,숙소
쭈욱게스트하우스,게스트하우스,제주특별자치도 제주시 한림읍 하운당길 84-32,한림읍 동명리 1025,010-9482-7519,http://jjukguest.modoo.at/,숙소
제주꿀잠 게스트하우스,게스트하우스,제주특별자치도 서귀포시 하예하동로 13,하예동 1855-1,,https://blog.naver.com/same3479,숙소
혼울타리 게스트하우스,게스트하우스,제주특별자치도 서귀포시 대정읍 중산간서로 2847,대정읍 무릉리 640-6,,,숙소
놀멍쉬멍고르멍 게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 동복남4길 5-4,구좌읍 동복리 1334-3,,,숙소
BJ스테이,게스트하우스,제주특별자치도 제주시 용문로18길 27-41,용담이동 2687-20,,,숙소
피디스테이션,게스트하우스,제주특별자치도 제주시 구좌읍 평대10길 45-46,구좌읍 평대리 242,070-8879-0242,http://www.pd-station.com/,숙소
타시텔레 힐링농원,게스트하우스,제주특별자치도 서귀포시 표선면 가시로 612-14,표선면 가시리 1738,,,숙소
제주시월,게스트하우스,제주특별자치도 제주시 구좌읍 덕천길 10-1,구좌읍 덕천리 1192,010-9093-2707,http://www.instagram.com/jeju_siwol/,숙소
위미위드미게스트하우스,게스트하우스,제주특별자치도 서귀포시 남원읍 태위로151번길 17,남원읍 위미리 2026-1,,https://www.instagram.com/wemewithme,숙소
이호1820게스트하우스,게스트하우스,제주특별자치도 제주시 현사길 47,이호일동 1820,,https://www.instagram.com/tuholdings/,숙소
까사보니따,게스트하우스,제주특별자치도 제주시 조천읍 대흘9길 12-1,조천읍 대흘리 1075-25,0507-1320-9629,http://www.casabonitajeju.com/,숙소
제주플레이그라운드,게스트하우스,제주특별자치도 제주시 한림읍 귀덕6길 92-9,한림읍 귀덕리 2723,,https://www.instagram.com/jejuplayground/,숙소
미미어스제주,게스트하우스,"제주특별자치도 제주시 구좌읍 세화합전2길 10-6 1,3,4,5,6동",구좌읍 세화리 799-3,010-300-3495,,숙소
함덕8길5,게스트하우스,제주특별자치도 제주시 조천읍 함덕8길 5,조천읍 함덕리 1049-7,,https://www.instagram.com/8gil5/,숙소
다붓,게스트하우스,제주특별자치도 서귀포시 성산읍 수산서남로 38-13,성산읍 수산리 1234-1,010-4645-5024,https://site.onda.me/52155,숙소
미나미knot,게스트하우스,제주특별자치도 서귀포시 남원읍 태위로 268,남원읍 위미리 936-7,,,숙소
곱을락게스트하우스,게스트하우스,제주특별자치도 서귀포시 서호로 57,서호동 618-2,,http://blog.naver.com/commun,숙소
해바라기게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 성산등용로 10-1,성산읍 성산리 236-1,064-782-3200,,숙소
미친게스트하우스,게스트하우스,제주특별자치도 서귀포시 중정로 19-6,서귀동 319-11,,,숙소
GHSTAY,게스트하우스,제주특별자치도 서귀포시 동문로 36,서귀동 270-21,,,숙소
노연스테이,게스트하우스,제주특별자치도 제주시 노연로 37,노형동 914-6,,,숙소
인연게스트하우스,게스트하우스,제주특별자치도 제주시 한경면 한장중길 4,한경면 고산리 3794-4,010-2405-4686,,숙소
첫날밤게스트하우스,게스트하우스,제주특별자치도 제주시 용화로 22-1,용담이동 630-6,,https://www.instagram.com/the_first_night/,숙소
하도리의아침,게스트하우스,제주특별자치도 제주시 구좌읍 해맞이해안로 1854,구좌읍 하도리 355-1,010-5856-7921,,숙소
제주를그리다,게스트하우스,제주특별자치도 제주시 조천읍 와흘전1길 69-14,조천읍 와흘리 2850-2,,,숙소
여행자게스트하우스,게스트하우스,제주특별자치도 제주시 무근성7길 21,삼도이동 1098-3,0507-1332-6957,https://m.blog.naver.com/alswnd2001,숙소
구구봉게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 일출로 270-3,성산읍 성산리 135-4,,,숙소
아무렴제주,게스트하우스,제주특별자치도 제주시 애월읍 장소로 147-22,애월읍 소길리 459-12,,https://blog.naver.com/jejuaropa,숙소
제주옥게스트하우스,게스트하우스,제주특별자치도 제주시 애월읍 봉성로 67,애월읍 봉성리 4123-7,010-9447-3998,https://www.instagram.com/jejuok_gh/,숙소
알롱스테이,게스트하우스,제주특별자치도 제주시 조천읍 북촌14길 34 1층,조천읍 북촌리 703-55,010-3263-7469,https://instagram.com/alrong_studio_stay,숙소
제주택,게스트하우스,제주특별자치도 제주시 조천읍 함와로 566-27 111동,조천읍 와산리 1559-18,010-3194-3231,http://www.instagram.com/jejutaek,숙소
당근게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 평대7길 40-10,구좌읍 평대리 587,010-8959-9781,https://www.instagram.com/jeju.carrot/,숙소
수상한집 광보네게스트하우스,게스트하우스,제주특별자치도 제주시 도련3길 14-4,도련일동 1634-1,064-757-0113,https://suspicioushouse.modoo.at/,숙소
우도쉼팡 게스트하우스,게스트하우스,제주특별자치도 제주시 우도면 우도로 7,우도면 연평리 1750-7,010-9866-0185,http://www.udospang.com/,숙소
구름안게스트하우스,게스트하우스,제주특별자치도 서귀포시 대정읍 일과대수로 14,대정읍 일과리 1312,,http://blog.naver.com/cloudin2013,숙소
아서의집,게스트하우스,제주특별자치도 제주시 구좌읍 대수길 11,구좌읍 평대리 1958-10,064-782-2119,,숙소
자운게스트하우스,게스트하우스,제주특별자치도 서귀포시 대정읍 신영로 128-1,대정읍 하모리 818,,,숙소
공우당,게스트하우스,제주특별자치도 서귀포시 표선면 표선중앙로 108,표선면 표선리 852-2,,https://gongwoodang.modoo.at/,숙소
고불락게스트하우스,게스트하우스,제주특별자치도 제주시 애월읍 고내로7길 45-12,애월읍 고내리 1164-1,010-3699-8466,https://www.instagram.com/jeju_gobulrak/,숙소
홈리홈,게스트하우스,제주특별자치도 제주시 조천읍 함덕27길 4,조천읍 함덕리 272-69,,https://homelyhome.modoo.at/,숙소
탐모라센터,게스트하우스,제주특별자치도 서귀포시 성산읍 신천동로 176,성산읍 신천리 109-4,064-787-2787,,숙소
뜻밖의하루,게스트하우스,제주특별자치도 서귀포시 안덕면 감천로 129-32,안덕면 감산리 1-7,,,숙소
동백바다게스트하우스,게스트하우스,제주특별자치도 서귀포시 남원읍 태위로360번길 46,남원읍 위미리 750,010-3757-5702,http://camelliaocean.com/,숙소
제주30게스트하우스,게스트하우스,제주특별자치도 서귀포시 남원읍 남한로21번길 57,남원읍 남원리 1280-3,064-787-0919,https://jeju30.modoo.at/,숙소
김마담게스트하우스,게스트하우스,제주특별자치도 제주시 한경면 신창4길 7-2,한경면 신창리 423,010-7641-1201,https://www.instagram.com/jeju_kimmadam,숙소
도토리집,게스트하우스,제주특별자치도 서귀포시 남원읍 서의로 42-6,남원읍 남원리 893-2,0507-1322-1002,http://www.dotori.house/,숙소
